date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
10-15-15,0,0,0,0,0,0,29,0,0,0,0
10-16-55,0,33,0,0,0,0,0,0,0,0,0
10-17-45,32,0,0,0,0,0,0,0,0,0,0
10-18-05,44,0,0,0,0,0,0,0,0,0,0
10-20-55,0,0,0,0,0,0,31,0,0,0,0
10-21-05,0,0,0,0,0,0,29,0,0,0,0
10-22-25,47,0,0,0,0,0,0,0,0,0,0
10-23-05,29,0,0,0,0,0,0,0,0,0,0
10-25-55,29,0,0,0,0,0,0,0,0,0,0
10-28-15,0,34,0,0,0,0,0,0,0,0,0
10-33-15,0,0,0,0,0,0,0,0,0,41,0
10-35-35,0,0,0,0,0,0,33,0,0,34,0
10-36-05,33,0,0,0,0,0,30,0,0,29,0
10-38-25,0,31,0,0,0,0,0,0,0,0,0
10-40-35,29,0,0,0,0,0,0,0,0,0,0
10-42-05,31,35,0,0,0,0,0,0,0,0,0
10-43-05,0,0,0,0,0,0,29,0,0,0,0
10-44-45,0,0,0,0,0,0,29,0,0,0,0
10-45-15,0,0,0,0,0,0,34,0,0,0,0
10-46-15,31,0,0,0,0,0,0,0,0,0,0
10-47-25,0,0,0,0,0,0,36,0,0,0,0
10-50-55,0,0,0,0,0,0,0,0,0,34,0
10-51-25,0,34,0,0,0,0,0,0,0,0,0
10-52-05,0,35,0,0,0,0,0,0,0,0,0
10-53-45,0,0,0,0,0,0,35,0,0,0,0
10-54-15,0,0,0,0,0,0,0,0,0,29,0
10-55-15,0,31,0,0,0,0,29,0,0,0,0
10-56-25,0,32,0,0,0,0,0,0,0,0,0
10-57-25,0,0,0,0,0,0,0,0,0,29,0
10-58-15,0,0,0,0,0,0,0,0,0,32,0
10-59-05,0,0,0,0,0,0,0,0,0,32,0
11-00-05,0,0,0,0,0,0,0,0,0,30,0
11-01-05,0,0,0,0,0,0,0,0,0,31,0
11-02-15,0,36,0,0,0,0,36,0,0,0,0
11-03-45,0,29,0,0,0,0,0,0,0,0,0
11-10-25,0,30,0,0,0,0,0,0,0,0,0
11-11-05,0,34,0,0,0,0,0,0,0,0,0
11-12-15,0,0,0,0,0,0,29,0,0,0,0
11-13-05,0,0,0,0,0,0,31,0,0,0,0
11-14-05,0,0,0,0,0,0,30,0,0,0,0
11-16-55,0,0,0,0,0,0,0,0,0,29,0
11-17-55,0,0,0,0,0,0,0,0,0,30,0
11-20-15,0,0,0,0,0,0,0,0,0,29,0
11-22-05,32,0,0,0,0,0,0,0,0,0,0
11-28-35,0,0,0,0,0,0,33,0,0,0,0
11-30-25,0,0,0,0,0,0,29,0,0,0,0
11-43-35,29,0,0,0,0,0,0,0,0,0,0
11-44-05,29,0,0,0,0,0,0,0,0,29,0
11-45-15,0,0,0,0,0,0,0,0,0,29,0
11-46-05,32,0,0,0,0,0,31,0,0,0,0
11-47-05,0,0,0,0,0,0,32,0,0,0,0
11-51-35,0,30,0,0,0,0,0,0,0,0,0
12-04-55,0,0,0,0,0,0,29,0,0,0,0
12-05-25,0,33,0,0,0,0,0,0,0,0,0
12-07-55,0,33,0,0,0,0,0,0,0,0,0
12-08-25,29,0,0,0,0,0,0,0,0,0,0
12-09-05,0,0,0,0,0,0,29,0,0,0,0
12-10-05,0,0,0,0,0,0,29,0,0,0,0
12-13-25,0,0,0,0,0,0,29,0,0,0,0
12-14-35,33,0,0,0,0,0,0,0,0,0,0
12-15-45,29,29,0,0,0,0,0,0,0,0,0
12-16-05,0,34,0,0,0,0,0,0,0,0,0
12-17-45,0,0,0,0,0,0,29,0,0,0,0
12-18-35,0,0,0,0,0,0,29,0,0,0,0
12-19-35,0,0,0,0,0,0,0,0,0,34,0
12-20-25,0,0,0,0,0,0,0,0,0,31,0
12-21-05,0,0,0,0,0,0,0,0,0,31,0
12-22-05,0,0,0,0,0,0,0,0,0,33,0
12-23-05,0,0,0,0,0,0,29,0,0,0,0
12-24-05,0,0,0,0,0,0,0,0,0,37,0
12-25-05,0,0,0,0,0,0,29,0,0,0,0
12-26-15,0,0,0,0,0,0,0,0,0,29,0
12-27-25,0,0,0,0,0,0,0,0,0,29,0
12-28-05,0,0,0,0,0,0,0,0,0,31,0
12-29-25,0,0,0,0,0,0,0,0,0,29,0
12-30-05,0,0,0,0,0,0,0,0,0,29,0
12-31-05,0,0,0,0,0,0,30,0,0,0,0
12-32-25,0,0,0,0,0,0,30,0,0,0,0
12-33-15,0,0,0,0,0,0,0,0,0,31,0
12-35-35,0,0,0,0,0,0,0,0,0,29,0
12-36-15,0,0,0,0,0,0,47,0,0,0,0
12-37-05,0,0,0,0,0,0,44,0,0,0,0
12-38-05,0,0,0,0,0,0,33,0,0,0,0
12-39-15,0,0,0,0,0,0,0,0,0,30,0
12-40-25,0,0,0,0,0,0,35,0,0,0,0
12-41-05,0,0,0,0,0,0,33,0,0,0,0
12-42-05,0,0,0,0,0,0,36,0,0,0,0
12-43-05,0,31,0,0,0,0,0,0,0,0,0
12-44-05,0,0,0,0,0,0,35,0,0,0,0
12-45-55,0,0,0,0,0,0,0,0,0,31,0
12-46-05,0,0,0,0,0,0,0,0,0,30,0
12-47-05,39,0,0,0,0,0,37,0,0,0,0
