date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-46-45,0,64,0,0,35,0,36,0,0,0,0
09-46-55,0,64,0,0,37,0,33,0,0,0,0
09-47-05,0,64,0,0,32,0,32,0,0,34,0
09-47-15,0,64,0,0,0,0,33,0,0,0,0
09-47-25,0,64,0,0,0,0,32,0,0,38,0
09-47-35,0,65,0,0,0,0,35,0,0,37,0
09-47-45,0,64,0,0,0,0,35,0,0,35,0
09-47-55,0,64,0,0,0,0,37,0,0,33,0
09-48-05,0,65,0,0,0,0,34,0,0,36,0
09-48-15,0,64,0,0,0,0,32,0,0,34,0
09-48-25,0,64,0,0,0,0,34,0,0,33,0
09-48-35,0,65,0,0,0,0,36,0,0,35,0
09-48-45,0,64,0,0,0,0,33,0,0,32,0
09-48-55,0,64,0,0,0,0,32,0,0,32,0
09-49-05,0,64,0,0,0,0,0,0,0,32,0
09-49-15,0,64,0,0,0,0,32,0,0,0,0
09-49-25,0,64,0,0,0,0,33,0,0,33,0
09-49-35,0,65,0,0,0,0,34,0,0,33,0
09-49-45,0,65,0,0,0,0,34,0,0,33,0
09-49-55,0,64,0,0,0,0,36,0,0,33,0
09-50-05,0,64,0,0,0,0,35,0,0,33,0
09-50-15,0,64,0,0,0,0,32,0,0,33,0
09-50-25,0,65,0,0,0,0,34,0,0,33,0
09-50-35,0,64,0,0,0,0,36,0,0,33,0
09-50-45,0,65,0,0,0,0,34,0,0,33,0
09-50-55,0,64,0,0,0,0,35,0,0,39,0
09-51-05,0,64,0,0,0,0,32,0,0,40,0
09-51-15,0,64,0,0,0,0,33,0,0,38,0
09-51-25,0,65,0,0,0,0,0,0,0,43,0
09-51-35,0,64,0,0,0,0,37,0,0,36,0
09-51-45,0,64,0,0,0,0,33,0,0,36,0
09-51-55,0,64,0,0,0,0,33,0,0,34,0
09-52-05,0,65,0,0,0,0,33,0,0,33,0
09-52-15,0,64,0,0,0,0,34,0,0,32,0
09-52-25,0,64,0,0,0,0,34,0,0,0,0
09-52-35,0,64,0,0,0,0,33,0,0,34,0
