date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-30-55,44,53,61,57,53,43,0,36,0,0,0
09-31-05,44,51,60,57,53,40,0,35,0,0,0
09-31-15,44,48,59,58,53,45,0,36,32,34,0
09-31-25,45,50,59,57,54,43,0,34,32,40,0
09-31-35,44,50,60,57,54,46,0,34,32,39,0
09-31-45,44,50,60,58,54,45,0,33,33,47,0
09-31-55,44,50,59,57,54,48,0,34,33,41,0
09-32-05,43,51,60,58,53,47,0,34,33,0,0
09-32-15,43,50,60,58,53,47,0,33,33,0,0
09-32-25,43,49,60,57,53,49,0,34,33,0,0
09-32-35,43,49,60,58,53,48,0,34,32,0,0
09-32-45,43,50,60,58,53,50,35,34,32,0,0
09-32-55,43,49,60,57,52,48,52,35,33,0,0
09-33-05,43,48,60,57,53,49,43,34,32,0,0
09-33-15,43,50,60,58,53,48,33,34,0,0,0
09-33-25,42,51,60,58,53,49,0,33,32,0,0
09-33-35,43,50,59,58,52,50,0,34,32,0,0
09-33-45,45,49,59,57,52,47,0,37,33,0,0
09-33-55,42,49,57,57,53,47,0,36,34,0,0
09-34-05,0,39,44,35,34,40,0,36,0,0,0
09-34-15,34,37,40,34,0,41,0,33,0,0,0
09-34-25,0,35,37,36,0,40,0,33,0,0,0
09-34-35,35,38,46,41,36,39,0,39,0,0,0
09-34-45,0,36,38,34,33,38,0,0,0,0,0
09-34-55,0,33,34,0,0,35,0,0,0,0,0
09-35-05,0,32,34,0,0,33,0,0,0,0,0
09-35-15,0,34,34,0,0,35,0,0,0,0,0
09-35-25,0,0,32,0,0,32,0,0,0,0,0
09-35-35,0,0,33,0,0,32,32,0,0,0,0
09-35-45,0,0,35,0,0,36,32,0,0,0,0
09-35-55,0,0,35,0,0,33,34,0,0,42,0
09-36-05,0,0,0,0,0,0,33,0,0,0,0
09-36-15,0,0,0,0,0,0,41,0,0,0,0
09-36-25,0,0,0,0,0,0,41,0,0,44,0
09-36-35,0,0,0,0,0,0,33,0,0,0,0
09-36-55,0,0,0,0,0,0,37,0,0,0,0
09-37-05,0,0,0,0,0,0,37,0,0,0,0
09-37-15,0,0,0,0,0,0,36,0,0,0,0
09-37-25,0,0,0,0,0,0,36,0,0,0,0
09-37-35,0,0,0,0,0,0,34,0,0,0,0
09-37-45,0,0,0,0,0,0,36,0,0,0,0
09-37-55,0,0,0,0,0,0,42,0,0,0,0
09-38-05,0,0,0,0,0,0,36,0,0,0,0
09-38-15,0,0,0,0,0,0,35,0,0,0,0
09-38-25,0,0,0,0,0,0,42,0,0,0,0
09-38-35,0,0,0,0,0,0,38,0,0,35,0
09-38-45,0,0,0,0,33,0,41,0,0,0,0
09-38-55,0,0,0,0,36,0,48,0,0,0,0
09-39-05,0,0,0,0,34,0,43,0,0,0,0
09-39-15,0,0,0,0,32,0,36,0,0,0,0
09-39-25,0,0,37,0,0,35,0,0,0,0,0
09-39-35,0,0,0,0,0,35,0,0,0,0,0
