date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-25-35,0,36,34,32,32,57,0,0,0,0,0,0,33,45,34,0
09-25-45,0,37,36,32,32,56,0,0,0,0,0,0,32,45,33,0
09-25-55,0,37,35,32,32,57,0,32,0,0,0,0,33,45,33,0
09-26-05,0,37,35,33,33,57,0,0,0,0,0,0,32,45,33,0
09-26-15,0,36,33,32,32,56,0,32,0,0,0,0,32,45,34,0
09-26-25,0,36,33,32,32,56,0,0,0,0,0,0,32,45,33,0
09-26-35,0,37,33,32,32,57,0,0,0,0,0,0,32,45,33,0
09-26-45,0,37,33,32,32,56,0,0,0,0,0,0,32,45,34,0
09-26-55,0,36,33,32,32,56,0,0,0,0,0,0,33,45,33,0
09-27-05,0,37,33,32,32,56,0,0,0,0,0,0,33,45,33,0
09-27-15,0,37,33,32,32,56,0,0,0,0,0,0,32,45,34,0
09-27-25,0,38,35,32,32,56,0,32,0,0,0,0,32,45,33,0
09-27-35,0,36,36,32,32,56,0,0,0,0,0,0,32,44,33,0
09-27-45,0,38,34,32,32,57,0,0,0,0,0,0,33,45,33,0
09-27-55,0,38,35,32,0,57,0,0,0,0,0,0,32,45,34,0
09-28-05,0,37,38,34,33,57,0,32,0,0,0,0,32,44,35,0
09-28-15,0,39,37,34,33,58,0,0,0,0,0,0,33,40,35,0
09-28-25,0,38,38,33,32,58,0,0,0,0,0,0,32,43,35,0
09-28-35,0,36,37,33,33,57,0,0,0,0,0,0,32,43,36,0
09-28-45,0,35,36,34,33,57,0,0,0,0,0,0,32,44,33,0
09-28-55,0,35,35,34,32,57,0,0,0,0,0,0,32,43,36,0
09-29-05,0,36,36,34,33,57,0,0,0,0,0,0,32,43,37,0
09-29-15,0,36,36,34,32,57,0,0,0,0,0,0,32,42,35,0
09-29-25,0,36,34,34,0,57,0,0,0,0,0,0,32,43,36,0
09-29-35,0,35,37,34,0,57,0,0,0,0,0,0,32,43,35,0
09-29-45,0,37,38,34,0,57,0,0,0,0,0,0,33,44,34,0
09-29-55,0,37,38,34,0,58,0,0,0,0,0,0,32,46,35,0
09-30-05,0,36,36,35,0,56,0,0,0,0,0,0,33,33,36,0
09-30-15,0,35,36,35,32,57,0,0,0,0,0,0,32,43,34,0
09-30-25,0,36,35,34,0,57,0,0,0,0,0,0,32,43,36,0
09-30-35,0,37,36,0,33,34,0,0,0,0,0,0,0,34,33,0
09-30-45,0,33,32,0,0,34,0,0,0,0,0,0,0,32,32,0
09-30-55,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-31-15,0,32,33,32,0,32,0,32,0,0,0,0,0,32,33,0
09-31-25,0,33,36,32,0,36,0,32,0,0,0,0,0,34,35,0
09-31-35,0,41,41,35,32,44,0,33,0,0,0,0,32,39,39,0
