date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-18-05,33,0,59,43,32,54,45,0,0,0,31,0,33,0,47,0
09-18-15,32,0,59,43,33,53,44,0,0,0,31,0,33,0,47,0
09-18-25,32,0,59,43,36,53,45,0,0,0,32,0,33,0,49,0
09-18-35,32,0,58,42,0,53,45,0,0,0,31,0,33,0,48,0
09-18-45,32,0,59,43,0,53,45,0,0,0,31,0,32,0,48,0
09-18-55,32,0,60,42,0,54,44,0,0,0,31,0,33,0,49,0
09-19-05,33,0,59,43,0,53,46,0,0,0,31,0,33,0,48,0
09-19-15,32,0,58,43,0,54,44,35,0,0,31,0,33,0,48,0
09-19-25,33,0,59,42,0,53,43,35,0,0,31,0,0,0,48,0
09-19-35,32,0,58,43,0,52,43,35,0,0,31,0,0,0,49,0
09-19-45,32,0,59,42,0,52,44,36,0,0,31,0,0,0,48,0
09-19-55,32,0,57,42,0,53,44,36,0,0,31,0,31,0,49,0
09-20-05,32,0,58,42,0,53,44,37,0,0,31,0,0,0,48,0
09-20-15,33,0,59,43,0,53,45,37,0,0,31,0,0,0,50,0
09-20-25,33,0,59,43,0,53,43,37,0,0,0,0,0,0,47,0
09-20-35,33,0,59,43,0,53,45,35,0,0,31,0,0,0,48,0
09-20-45,32,0,59,44,0,53,44,36,0,0,0,0,0,0,48,0
09-20-55,33,0,59,42,0,53,45,36,0,0,0,0,0,0,47,0
09-21-05,33,0,59,42,0,53,45,36,0,0,31,0,0,0,48,0
09-21-15,0,0,59,43,0,56,46,36,0,0,0,0,0,0,49,0
09-21-25,0,0,59,44,0,55,46,36,0,0,0,0,0,0,48,0
09-21-35,0,0,60,44,0,55,46,37,0,0,0,0,0,0,48,0
09-21-45,31,0,59,45,0,53,46,36,0,0,0,0,31,0,50,0
09-21-55,33,0,58,48,0,53,46,35,0,0,0,0,32,0,49,0
09-22-05,32,0,59,47,0,50,44,34,0,0,0,0,31,0,48,0
09-22-15,32,0,59,45,0,51,44,36,0,0,0,0,33,0,47,0
09-22-25,32,0,59,45,0,53,44,36,0,0,31,0,32,0,49,0
09-22-35,32,0,59,47,0,53,46,36,0,0,0,0,31,0,48,0
