date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-10-35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-15,0,0,34,0,0,36,0,0,0,0,0,0,0,0,0,0
10-11-25,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-35,0,0,34,0,0,35,0,0,0,0,0,0,0,0,0,0
10-11-45,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-55,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-05,0,0,38,0,0,0,0,0,0,0,0,0,0,0,34,0
10-12-15,0,0,36,0,0,0,0,0,0,0,34,0,0,0,0,0
10-12-25,0,0,37,0,0,34,0,0,0,0,0,0,0,0,0,0
10-12-35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-45,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-55,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-13-05,0,0,38,0,0,0,0,0,0,0,0,0,0,0,34,0
10-13-15,0,0,36,0,0,0,0,0,0,0,34,0,0,0,0,0
10-13-25,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-13-35,0,0,35,0,0,34,0,0,0,0,0,0,0,0,0,0
10-13-45,0,0,37,0,0,35,0,0,0,0,0,0,0,0,0,0
10-13-55,0,0,0,0,0,36,0,39,0,0,0,0,0,0,0,0
10-14-05,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-14-35,0,0,35,0,0,0,0,36,0,0,0,0,0,0,0,0
10-14-45,0,0,49,0,0,0,0,35,0,0,0,0,0,0,0,0
10-14-55,0,0,34,0,0,0,0,39,0,0,0,0,0,0,0,0
10-15-05,0,0,34,0,0,0,0,36,0,0,34,0,0,0,0,0
10-15-15,0,0,42,0,0,34,0,0,0,0,0,0,0,0,0,0
10-15-25,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
10-15-35,0,0,42,0,0,34,0,0,0,0,34,0,0,0,0,0
10-15-45,0,0,34,0,0,0,0,36,0,0,0,0,0,0,35,0
10-16-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-16-15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-16-25,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
10-16-35,0,0,34,0,0,0,0,0,0,0,34,0,0,0,0,0
10-16-45,0,0,38,0,0,35,0,37,0,0,0,0,0,0,0,0
10-17-05,0,0,36,0,0,35,0,0,0,0,0,0,0,0,0,0
10-17-15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-17-25,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0
10-17-35,0,0,36,0,0,0,0,0,0,0,34,0,0,0,0,0
10-17-45,0,0,38,0,0,39,0,0,0,0,34,0,34,34,0,0
10-17-55,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-05,0,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0
10-18-15,0,0,0,0,0,34,0,0,0,0,34,0,0,0,0,0
10-18-25,0,0,34,0,0,35,0,0,0,0,34,0,0,0,0,0
10-18-35,0,0,34,0,0,0,0,0,0,0,34,0,0,0,0,0
10-18-45,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
10-18-55,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
10-19-05,0,0,0,0,0,0,35,0,0,0,34,0,0,0,0,0
10-19-15,0,0,34,0,0,0,34,0,0,0,0,0,0,0,0,0
10-19-25,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-19-35,0,0,37,0,0,34,0,0,0,0,0,0,0,0,0,0
10-19-45,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-19-55,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-05,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-15,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-20-25,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-20-45,0,0,35,0,0,0,34,0,0,0,0,0,0,0,0,0
10-20-55,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-05,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-25,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-35,0,0,35,0,0,0,0,0,0,0,0,0,0,34,0,0
10-21-45,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-22-05,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-22-15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-22-55,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0
10-23-15,0,0,0,0,0,36,34,0,0,0,0,0,0,0,0,0
10-23-45,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
