date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-27-05,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-28-05,0,0,39,33,0,40,0,0,0,0,0,0,0,33,34,0
10-29-05,0,0,38,33,0,35,0,33,0,0,34,0,0,34,33,0
10-30-05,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
10-31-05,0,0,35,0,0,33,0,0,0,0,0,0,0,34,0,0
10-32-05,0,0,33,0,0,0,0,0,0,0,0,0,0,35,0,0
10-33-05,0,0,36,0,0,34,0,0,0,0,33,0,0,38,0,0
10-34-05,0,0,0,0,0,33,0,0,0,0,0,0,0,37,0,0
10-35-05,0,0,0,0,0,33,0,0,0,0,0,0,0,36,0,0
10-36-05,0,0,0,0,0,0,0,0,0,0,33,0,0,42,35,0
10-37-05,0,0,34,33,0,0,0,0,0,0,0,0,0,37,0,0
10-38-05,0,0,33,0,0,0,0,0,0,0,0,0,0,42,0,0
10-39-05,0,0,36,33,0,0,0,47,0,0,35,0,0,34,33,0
10-40-05,0,0,0,0,0,33,0,0,0,0,0,0,0,39,0,0
10-41-05,0,0,0,0,0,0,0,0,0,0,33,0,0,37,0,0
10-42-25,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-44-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-45-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-46-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
10-47-05,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
10-49-25,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-50-05,0,0,33,0,0,35,0,0,0,0,0,0,0,33,39,0
10-51-05,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-52-05,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
10-53-05,0,0,0,0,0,34,0,0,0,0,33,0,0,37,33,0
10-54-05,0,0,0,0,0,33,0,0,0,0,0,0,0,34,0,0
10-55-05,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-57-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
10-58-05,34,0,0,0,0,34,0,0,0,0,0,0,0,38,0,0
10-59-05,33,0,0,0,0,0,0,0,0,0,33,0,0,41,0,0
11-00-05,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,0
