date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-29-05,0,0,32,0,0,43,0,0,0,0,0,0,0,0,0,0
09-30-05,0,0,33,0,0,43,0,0,0,0,0,0,0,0,0,0
09-31-05,0,0,32,0,0,43,0,0,0,0,0,0,0,0,0,0
09-32-05,0,0,33,0,0,43,0,0,0,0,0,0,0,32,0,0
09-33-05,0,0,32,0,0,43,0,0,0,0,0,0,0,32,0,0
09-34-05,0,0,32,0,0,45,0,0,0,0,0,0,0,32,0,0
09-35-05,0,0,32,31,0,44,0,0,0,0,0,0,0,0,0,0
09-36-05,0,0,32,0,0,45,0,0,0,0,0,0,0,0,0,0
09-37-05,0,0,32,0,0,44,0,0,0,0,0,0,0,0,0,0
09-38-05,0,0,32,0,0,44,0,0,0,0,0,0,0,0,0,0
09-39-05,0,0,32,0,0,49,0,0,0,0,0,0,0,0,0,0
09-40-05,0,0,32,0,0,49,0,0,0,0,0,0,0,0,0,0
09-41-15,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
09-43-05,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-44-45,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-51-55,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-16-55,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-17-15,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-18-25,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-23-35,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
10-26-15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
10-40-25,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
10-41-45,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-44-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-49-45,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
10-50-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-56-15,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
10-57-55,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-58-05,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-59-05,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-00-25,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-02-05,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
11-03-15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-04-15,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
11-05-25,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-07-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-18-15,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-20-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
11-24-15,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-32-45,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-33-15,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-38-55,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-40-35,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
11-41-35,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-42-25,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-51-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
11-55-35,0,0,31,0,0,40,0,0,0,0,0,0,0,0,0,0
11-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
11-57-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
11-58-15,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
12-01-55,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
