date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
11-41-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-42-05,0,0,32,0,0,0,0,0,0,0,32,0,0,31,31,0
11-43-05,0,0,42,30,0,0,0,0,0,0,0,0,0,0,48,0
11-44-05,0,0,46,30,0,0,0,0,0,0,0,0,0,0,49,0
11-45-05,0,0,48,30,0,0,0,0,0,0,0,0,0,0,49,0
11-46-05,0,0,46,0,0,0,0,0,0,0,0,0,0,0,50,0
11-47-25,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
11-48-15,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
11-49-35,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
11-50-15,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
11-51-15,0,0,35,33,0,0,0,0,0,0,0,0,0,0,0,0
11-52-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0
11-53-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-54-05,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
11-55-25,0,0,36,0,0,0,0,0,0,0,0,0,0,30,33,0
11-56-15,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
11-57-15,0,0,38,35,0,0,0,0,0,0,0,0,0,0,0,0
11-58-05,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
11-59-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-00-05,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
12-01-05,0,0,42,35,0,0,0,0,0,0,0,0,0,33,0,0
12-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
12-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
12-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
12-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
12-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
12-13-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
12-14-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
12-15-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-16-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-17-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-18-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
12-19-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
12-20-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-21-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-22-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-23-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
12-24-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
12-25-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-26-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-27-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-28-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-29-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
12-30-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-31-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
12-32-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-33-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-34-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-35-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-36-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-37-15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-38-25,0,0,31,0,0,0,0,0,0,0,0,0,0,0,30,0
12-39-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,35,0
12-40-05,0,0,31,0,0,0,0,31,0,0,0,0,0,33,31,0
12-41-05,31,0,54,31,0,0,0,0,0,0,30,0,0,47,47,0
12-42-05,31,0,54,31,0,0,0,34,0,0,32,0,29,48,48,0
12-43-05,30,0,55,32,0,0,0,32,0,0,33,0,30,48,49,0
12-44-05,0,0,54,32,0,0,0,34,0,0,32,0,29,47,47,0
12-45-05,0,0,55,31,0,0,0,33,0,0,34,0,29,47,47,0
12-46-05,0,0,54,32,0,0,0,33,0,0,29,0,29,46,48,0
12-47-05,0,0,54,32,0,0,0,32,0,0,31,0,30,46,48,0
12-48-05,0,0,54,32,0,0,0,32,0,0,31,0,29,47,48,0
12-49-05,33,0,55,31,0,0,0,33,0,0,0,0,30,47,47,0
12-50-05,31,0,51,34,0,0,0,33,0,0,0,0,30,44,46,0
12-51-05,0,0,53,31,0,0,0,32,0,0,34,0,29,46,48,0
12-52-05,0,0,53,31,0,0,0,32,0,0,34,0,29,46,47,0
12-53-05,0,0,54,31,0,0,0,33,0,0,33,0,29,47,48,0
12-54-05,0,0,54,31,0,0,0,32,0,0,33,0,30,47,48,0
12-55-05,0,0,54,31,0,0,0,33,0,0,33,0,29,47,47,0
12-56-05,0,0,53,31,0,0,0,33,0,0,33,0,29,46,48,0
12-57-05,0,0,54,31,0,0,0,32,0,0,34,0,29,47,48,0
12-58-05,0,0,54,32,0,0,0,33,0,0,33,0,29,47,48,0
12-59-05,0,0,53,32,0,0,0,32,0,0,33,0,29,47,48,0
13-00-05,0,0,54,31,0,0,0,33,0,0,33,0,29,47,48,0
