date,price
16-14,255.0
16-15,264.75
16-16,265.75
16-17,260.166666667
16-18,262.75
16-19,252.583333333
16-20,254.666666667
16-21,267.416666667
16-22,271.0
16-23,265.416666667
16-24,258.25
16-25,257.0
16-26,252.666666667
16-27,263.75
16-28,262.5
16-29,263.166666667
16-30,260.416666667
16-31,251.75
16-32,264.5
16-33,262.333333333
16-34,261.233870968
