date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-46-45,0,0,0,0,0,0,32,0,0,0,0
09-55-15,0,0,0,0,0,0,32,0,0,0,0
10-14-55,0,34,0,0,0,0,34,0,0,0,0
10-15-05,0,33,0,0,0,0,0,0,0,0,0
10-17-25,0,36,0,0,0,0,0,0,0,0,0
10-18-05,0,0,0,0,0,0,0,0,46,0,0
10-19-55,0,0,0,0,0,0,0,0,32,0,0
10-22-05,0,0,0,0,0,0,0,0,32,0,0
10-23-05,0,0,0,0,0,0,0,0,32,0,0
10-25-55,0,0,0,0,0,0,0,0,32,0,0
10-26-05,0,0,0,0,0,0,0,0,32,0,0
10-27-55,0,32,0,0,0,0,32,0,0,0,0
10-32-25,0,0,0,0,0,0,0,0,0,35,0
10-34-25,0,0,0,0,0,0,32,0,0,0,0
10-36-05,0,0,0,0,0,0,0,0,34,32,0
10-37-05,0,0,0,0,0,0,0,0,0,32,0
10-40-35,0,0,0,0,0,0,0,0,33,0,0
10-41-15,0,0,0,0,0,0,0,0,0,32,0
10-42-05,0,0,0,0,0,0,0,0,32,0,0
10-43-25,0,32,0,0,0,0,0,0,0,0,0
10-44-25,0,0,0,0,0,0,32,0,0,0,0
10-45-05,0,32,0,0,0,0,0,0,0,0,0
10-46-15,0,0,0,0,0,0,0,0,34,0,0
10-47-15,0,0,0,0,0,0,0,0,32,0,0
10-48-05,0,0,0,0,0,0,34,0,0,0,0
10-49-45,0,0,0,0,0,0,32,0,0,0,0
11-06-25,0,38,0,0,0,0,0,0,0,0,0
11-07-15,0,0,0,0,0,0,32,0,0,0,0
11-08-05,0,0,0,0,0,0,37,0,0,0,0
11-11-05,0,0,0,0,0,0,33,0,0,0,0
11-18-15,0,0,0,0,0,0,0,0,0,32,0
11-19-05,0,0,0,0,0,0,0,0,0,36,0
11-20-25,0,0,0,0,0,0,35,0,0,0,0
11-21-15,0,0,0,0,0,0,0,0,0,32,0
11-22-05,0,0,0,0,0,0,0,0,34,0,0
11-25-35,0,0,0,0,0,0,35,0,0,0,0
11-26-05,0,0,0,0,0,0,32,0,0,0,0
11-27-05,0,0,0,0,0,0,32,0,0,0,0
11-38-25,0,0,0,0,0,0,0,0,32,0,0
11-42-45,0,0,0,0,0,0,0,0,0,34,0
11-43-35,0,0,0,0,0,0,0,0,32,0,0
11-44-05,0,0,0,0,0,0,0,0,33,0,0
11-45-05,0,0,0,0,0,0,0,0,32,0,0
11-46-05,0,0,0,0,0,0,35,0,34,0,0
11-47-35,0,0,0,0,0,0,33,0,0,0,0
11-48-05,0,0,0,0,0,0,33,0,0,0,0
11-49-15,0,0,0,0,0,0,41,0,0,0,0
11-50-05,0,0,0,0,0,0,41,0,0,0,0
11-52-05,0,0,0,0,0,0,0,0,32,0,0
11-53-25,0,0,0,0,0,0,0,0,0,41,0
11-59-15,0,0,0,0,0,0,32,0,0,0,0
12-00-05,0,0,0,0,0,0,34,0,0,0,0
12-01-45,0,33,0,0,0,0,0,0,0,0,0
12-03-35,0,0,0,0,0,0,40,0,0,0,0
12-04-05,0,0,0,0,0,0,47,0,0,0,0
12-08-25,0,0,0,0,0,0,0,0,32,0,0
12-09-45,0,0,0,0,0,0,32,0,0,0,0
12-10-15,0,33,0,0,0,0,39,0,33,0,0
12-11-05,0,35,0,0,0,0,36,0,0,0,0
12-12-05,0,39,0,0,0,0,0,0,0,0,0
12-13-15,0,33,0,0,0,0,0,0,0,0,0
12-14-05,0,32,0,0,0,0,0,0,0,0,0
12-15-25,0,32,0,0,0,0,0,0,0,0,0
12-16-05,0,0,0,0,0,0,0,0,0,33,0
12-17-05,0,0,0,0,0,0,0,0,0,32,0
12-18-25,0,0,0,0,0,0,0,0,0,34,0
12-19-25,0,33,0,0,0,0,0,0,0,0,0
12-20-05,0,33,0,0,0,0,0,0,0,0,0
12-21-05,0,32,0,0,0,0,0,0,0,0,0
