date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-43-55,0,0,31,0,0,36,32,0,0,0,0
09-44-05,31,41,32,0,0,36,32,0,0,0,0
09-44-15,31,41,31,0,31,34,32,0,0,31,0
09-44-25,32,38,35,0,31,31,32,0,0,35,33
09-44-35,0,0,32,0,0,0,0,0,0,0,0
09-44-45,0,32,32,0,31,31,35,0,0,0,32
09-44-55,31,31,33,0,42,32,33,0,0,34,38
09-45-05,39,32,39,31,0,31,41,0,0,32,38
09-45-15,50,33,33,0,34,36,34,0,0,33,0
09-45-25,32,0,32,0,0,61,0,0,0,0,0
09-45-35,36,0,31,0,31,45,0,0,0,0,0
09-45-45,0,0,0,0,0,45,0,0,0,0,0
09-45-55,0,0,0,0,0,48,32,0,0,0,0
09-46-05,0,0,0,0,31,45,32,0,0,0,0
09-46-15,0,0,0,0,0,47,31,0,0,0,0
09-46-25,0,0,0,0,0,42,33,0,0,0,0
09-46-35,0,0,0,0,0,51,0,0,0,0,34
09-46-45,0,0,31,0,0,44,31,0,0,0,0
09-46-55,0,0,0,0,0,54,0,0,0,0,0
09-47-05,0,32,33,0,34,36,35,0,0,37,40
09-47-15,0,0,41,0,32,39,35,0,0,0,35
09-47-25,0,34,36,0,33,34,32,0,0,32,0
09-47-35,0,0,32,0,34,31,34,0,0,31,36
09-47-45,0,32,32,0,34,0,32,0,0,33,34
09-47-55,0,31,31,0,35,0,32,0,0,32,33
09-48-05,0,0,31,0,0,0,34,0,0,0,32
09-48-15,0,0,31,0,0,0,0,0,0,0,32
09-48-35,0,0,31,0,32,31,0,0,0,0,34
09-48-45,0,0,33,0,31,0,31,0,0,31,33
09-48-55,0,0,35,0,33,33,0,0,0,33,0
09-49-05,0,0,43,0,31,43,0,0,0,0,0
09-49-15,0,32,34,0,31,37,0,0,0,0,0
09-49-25,0,32,39,0,32,41,0,0,0,0,0
09-49-35,0,33,41,0,32,42,0,0,0,34,0
09-49-45,0,0,31,0,31,31,0,0,0,0,32
09-49-55,0,0,0,0,0,0,32,0,0,0,33
09-50-05,0,33,32,0,0,0,34,0,0,31,31
09-50-15,0,33,34,0,32,32,0,0,0,31,0
09-50-25,0,0,41,0,31,40,0,0,0,33,31
09-50-35,0,0,51,0,0,46,0,0,0,31,0
09-50-45,0,0,37,0,32,55,0,0,0,0,0
09-50-55,0,0,44,0,0,49,0,0,0,31,0
09-51-05,0,0,46,0,0,49,0,0,0,31,0
09-51-15,0,0,37,0,33,50,0,0,0,31,33
09-51-25,0,0,36,0,0,45,0,0,0,0,0
09-51-35,0,0,35,0,0,45,0,0,0,0,0
09-51-45,0,0,35,0,31,45,0,0,0,31,0
09-51-55,0,0,33,0,32,44,0,0,0,0,0
09-52-05,0,0,35,0,31,44,0,0,0,0,0
09-52-15,0,0,34,0,32,44,0,0,0,0,0
09-52-25,0,0,34,0,32,46,0,0,0,31,0
09-52-35,0,0,33,0,31,48,0,0,0,0,0
09-52-45,0,0,32,0,31,44,0,0,0,0,0
09-52-55,0,0,33,0,0,49,0,0,0,0,0
09-53-05,0,0,32,0,31,49,0,0,0,0,0
09-53-15,0,0,35,0,32,49,0,0,0,0,31
09-53-25,0,0,32,0,0,35,0,0,0,0,0
09-53-35,0,0,0,0,0,37,32,0,0,0,0
09-53-45,0,0,0,0,31,38,0,0,0,0,31
09-53-55,0,0,0,0,32,36,33,0,0,32,33
09-54-15,0,0,0,0,0,0,31,0,0,31,0
09-54-25,0,0,0,0,34,36,32,0,0,0,33
09-54-35,0,0,0,0,31,49,41,0,0,0,31
09-54-45,0,0,0,0,31,47,36,0,0,0,0
09-54-55,0,0,0,0,0,54,37,0,0,0,0
09-55-05,0,0,0,0,32,48,36,0,0,0,32
09-55-15,0,0,0,0,31,0,0,0,0,0,0
09-55-25,0,32,0,0,0,0,0,0,0,0,0
09-55-35,0,32,0,0,0,0,0,0,0,0,0
09-55-45,0,0,0,0,0,37,0,0,0,0,0
09-55-55,0,32,0,0,0,40,0,0,0,0,0
09-56-05,0,0,0,0,0,50,0,0,0,0,0
09-56-15,0,0,0,0,0,41,0,0,0,0,0
09-56-25,0,32,0,0,0,42,0,0,0,0,0
09-56-35,0,35,0,0,0,47,0,0,0,0,0
09-56-45,0,31,0,0,0,49,0,0,0,0,0
09-56-55,0,0,0,0,0,53,0,0,0,0,0
09-57-05,0,0,0,0,32,33,0,0,0,32,35
09-57-15,0,0,0,0,33,35,32,0,0,32,35
09-57-25,0,0,0,0,33,41,33,0,0,32,31
09-57-35,0,0,0,0,0,45,38,0,0,0,31
09-57-45,0,0,0,0,32,49,37,0,0,0,31
09-57-55,0,0,0,0,34,33,34,0,0,33,0
09-58-05,0,0,0,0,0,0,0,0,0,0,36
09-58-15,0,0,0,0,0,0,0,0,0,0,34
