date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Erin
12-43-05,0,0,0,0,0,35,34,0,38,0,0
12-44-05,0,0,0,0,35,0,0,0,0,0,0
12-45-05,0,0,0,0,34,0,0,0,0,0,0
12-46-15,0,0,0,0,0,34,0,0,0,0,0
12-47-05,0,0,0,0,0,0,0,0,0,34,0
12-48-05,0,0,0,0,0,34,34,0,35,34,0
12-52-55,0,0,0,0,0,0,0,0,38,0,0
12-54-05,0,0,0,0,0,0,0,0,35,0,0
12-55-05,0,0,0,0,34,35,0,0,0,34,0
12-56-05,0,34,0,0,34,36,0,0,0,34,0
12-57-25,0,0,0,0,0,0,0,0,34,0,0
12-59-15,0,34,0,0,0,0,0,0,36,34,0
