date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter,Quinn
11-31-05,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
11-32-05,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
11-33-05,0,0,34,0,0,0,0,0,33,0,0,0,0,0,0,0
11-34-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-35-05,0,0,34,33,0,0,0,0,0,0,0,0,0,0,0,0
11-36-15,0,0,0,0,0,0,0,0,32,0,0,0,0,33,0,0
11-37-05,0,0,32,0,0,0,35,0,0,0,0,0,0,0,0,0
11-38-05,0,0,32,0,0,0,35,0,0,0,0,0,0,0,0,0
11-39-15,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0
11-40-05,0,0,33,0,0,0,0,0,0,0,0,0,0,32,0,0
11-41-05,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-42-05,0,32,0,0,0,0,32,0,33,0,0,0,0,32,0,0
11-43-05,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-44-05,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-45-05,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-47-15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-49-35,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-50-15,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-51-15,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-52-35,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-53-15,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-54-05,0,0,0,0,0,0,33,0,0,0,0,0,0,36,0,0
11-55-05,0,0,0,0,0,0,32,0,0,0,0,0,0,33,0,0
11-56-05,0,0,0,0,0,0,32,0,0,0,0,0,0,33,0,0
11-57-15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
11-58-25,0,0,0,0,0,0,32,0,0,0,0,0,0,33,0,0
11-59-05,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0
12-00-05,0,32,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-01-05,0,0,0,0,0,0,33,0,32,0,0,0,0,0,0,0
12-02-05,0,0,0,0,0,0,34,0,0,0,0,0,0,34,0,0
12-03-45,0,0,0,0,0,0,34,0,32,0,0,0,0,0,0,0
12-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-05-15,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
12-06-15,0,0,0,0,0,0,33,0,32,0,0,0,0,0,0,0
12-07-05,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
12-08-05,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
12-09-15,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
12-10-05,0,0,0,0,0,0,0,0,36,0,33,0,0,0,0,0
12-11-05,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
12-12-05,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
12-13-35,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
12-14-05,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
