date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-23-41,0,0,48,0,0,58,0,0,0,61,0,0,0,57,43,38
09-23-51,0,0,45,0,0,57,0,0,0,62,0,0,31,59,0,0
09-24-01,42,0,49,0,0,58,0,0,31,63,0,0,0,56,41,0
09-24-11,40,0,47,0,0,0,0,0,36,62,0,0,0,58,40,39
09-24-21,40,0,42,0,0,59,40,0,0,62,0,0,0,59,0,0
09-24-31,0,0,47,0,0,60,38,0,40,62,0,0,0,56,0,40
09-24-41,41,0,46,0,0,58,0,0,32,62,0,0,0,55,0,0
09-24-51,44,0,0,0,0,59,31,0,0,61,0,0,0,58,0,0
09-25-01,41,0,48,0,0,58,0,0,37,63,0,0,0,58,31,39
09-25-11,41,0,44,0,0,57,0,0,36,61,0,0,0,59,0,39
09-25-21,41,0,51,0,0,59,0,0,0,62,0,0,0,59,0,0
09-25-31,40,0,50,0,0,58,0,0,0,62,0,0,0,56,0,39
09-25-41,39,0,51,0,0,58,0,0,0,62,0,0,0,56,0,39
09-25-51,41,0,0,0,0,58,0,0,0,62,0,0,0,58,0,0
09-26-01,0,0,47,0,0,57,0,0,0,62,0,0,31,56,33,40
09-26-11,42,0,48,0,0,60,0,0,0,61,0,0,0,58,0,41
09-26-21,40,0,47,0,0,59,0,0,0,60,0,0,31,57,0,41
09-26-31,41,0,47,0,0,58,0,0,0,62,0,0,31,58,0,41
09-26-41,41,0,43,0,0,57,34,0,0,62,0,0,0,58,0,40
09-26-51,41,0,47,0,0,58,40,0,0,62,0,0,0,57,0,39
09-27-01,42,0,48,0,0,57,0,0,0,62,0,0,0,58,0,0
09-27-11,0,0,47,0,0,55,0,0,0,62,0,0,0,58,0,0
09-27-21,40,0,45,0,0,56,33,0,0,61,0,0,0,59,0,40
09-27-31,42,0,45,0,0,55,0,0,0,63,0,0,0,60,0,40
09-27-41,36,0,46,0,0,59,0,0,0,62,0,0,0,60,0,39
09-27-51,41,0,48,0,0,58,0,0,0,62,0,0,0,58,0,0
09-28-01,41,0,48,0,0,58,33,0,0,62,0,0,0,56,0,42
09-28-11,41,0,48,0,0,60,0,0,0,60,0,0,0,58,0,42
09-28-21,42,0,42,0,0,60,0,0,0,61,0,0,0,54,0,42
09-28-31,37,0,47,0,0,57,31,33,0,62,0,0,0,58,0,43
09-28-41,0,0,42,0,0,58,0,0,0,59,0,0,0,58,0,38
09-28-51,44,0,46,0,0,59,0,0,0,59,0,0,0,57,0,37
09-29-01,40,0,46,0,0,60,31,0,0,60,0,0,0,59,0,0
09-29-11,42,0,49,0,0,59,0,0,0,60,0,0,0,58,0,41
09-29-21,41,0,49,0,0,59,0,0,0,62,0,0,0,0,0,42
09-29-31,42,0,46,0,0,59,0,0,0,61,0,0,0,56,0,39
09-29-41,38,0,43,0,0,60,0,0,0,60,0,0,0,58,0,0
09-29-51,42,0,44,0,0,60,0,0,0,61,0,0,0,58,0,41
09-30-01,41,0,46,0,0,59,0,0,0,61,0,0,0,58,0,40
09-30-11,36,0,47,0,0,59,0,0,0,60,0,0,0,59,0,41
09-30-21,40,0,43,0,0,59,0,0,0,62,0,0,0,59,0,42
09-30-31,36,0,47,0,0,59,0,0,0,58,0,0,0,0,0,42
09-30-41,40,0,47,0,0,55,0,0,0,56,0,0,0,60,0,42
09-30-51,42,0,48,0,0,57,0,0,0,0,0,0,0,58,0,42
09-31-01,43,0,48,0,0,58,0,0,0,46,0,0,0,59,0,0
09-31-11,40,0,39,0,0,61,0,0,0,44,0,0,0,58,0,0
09-31-21,40,0,36,0,0,60,0,0,35,45,0,0,0,60,0,0
09-31-31,41,0,0,0,0,62,0,0,0,40,0,0,0,60,0,0
09-31-41,43,0,42,0,0,61,0,0,0,47,0,0,0,60,0,0
09-31-51,44,0,36,0,0,61,0,0,0,47,0,0,0,62,0,0
09-32-01,43,0,41,0,0,61,0,0,0,47,0,0,0,59,0,0
09-32-11,43,0,37,0,0,62,0,0,0,47,0,0,0,59,0,0
09-32-21,41,0,39,0,0,62,0,0,0,49,0,0,0,60,0,0
09-32-31,42,0,42,0,0,61,0,0,0,47,0,0,0,62,0,0
09-32-41,39,0,40,0,0,61,0,0,0,48,0,0,0,60,0,0
09-32-51,41,0,0,0,0,62,0,0,0,45,0,0,0,62,0,0
09-33-01,44,0,33,0,0,61,0,0,0,45,0,0,0,61,0,0
09-33-11,42,0,36,0,0,58,0,0,0,44,0,0,0,61,0,0
09-33-21,41,0,42,0,0,62,33,0,0,40,0,0,0,59,0,0
09-33-31,39,0,47,0,0,62,0,0,0,38,0,0,0,60,0,0
09-33-41,42,0,0,0,0,62,0,0,0,42,0,0,0,60,0,0
09-33-51,40,0,47,0,0,61,0,0,0,40,0,0,0,61,0,0
09-34-01,41,0,46,0,0,61,0,0,0,45,0,0,0,60,0,0
09-34-11,43,0,48,0,0,62,34,0,0,42,0,0,0,60,0,0
09-34-21,42,0,45,0,0,61,32,0,0,33,0,0,0,59,0,0
09-34-31,36,0,40,0,0,60,31,0,0,36,0,0,0,58,0,0
09-34-41,39,0,41,0,0,62,32,0,0,44,0,0,0,58,0,0
09-34-51,40,0,47,0,0,62,35,0,0,40,0,0,0,57,0,0
09-35-01,39,0,42,0,0,62,0,0,0,41,0,0,0,59,0,0
09-35-11,41,0,42,0,0,62,0,0,0,31,0,0,0,59,0,0
09-35-21,0,0,41,0,0,60,0,0,0,48,0,0,0,57,0,0
09-35-31,41,0,46,0,0,61,0,0,0,47,0,0,0,59,0,0
09-35-41,40,0,42,0,0,61,0,0,0,47,0,0,0,59,0,0
09-35-51,43,0,50,0,0,60,0,0,0,41,0,0,0,60,0,0
09-36-01,41,0,47,0,0,62,0,0,0,0,0,0,0,59,0,0
09-36-11,38,0,45,0,0,60,0,0,0,40,0,0,0,60,0,0
09-36-21,40,0,47,0,0,61,0,0,0,36,0,0,0,60,0,0
09-36-31,41,0,49,0,0,61,0,0,0,35,0,0,0,59,0,0
09-36-41,40,0,49,0,0,61,0,0,0,0,0,0,0,59,0,0
09-36-51,41,0,48,0,0,62,0,0,0,45,0,0,0,59,0,0
09-37-01,38,0,48,0,0,61,0,0,0,38,0,0,0,60,0,0
09-37-11,40,0,47,0,0,62,0,0,0,42,0,0,0,60,0,0
09-37-21,42,0,46,0,0,62,0,0,0,39,0,0,0,60,0,0
09-37-31,42,0,44,0,0,61,0,0,0,37,0,0,0,60,0,0
09-37-41,40,0,44,0,0,61,0,0,0,38,0,0,0,58,0,0
09-37-51,41,0,45,0,0,60,0,0,0,37,0,0,0,60,0,0
09-38-01,39,0,46,0,0,60,0,0,0,42,0,0,0,60,0,0
09-38-11,0,0,44,0,0,63,0,0,0,42,0,0,0,60,0,0
09-38-21,38,0,46,0,0,61,0,0,0,43,0,0,0,60,0,0
09-38-31,42,0,48,0,0,60,0,0,0,35,0,0,0,61,0,0
09-38-41,43,0,46,0,0,59,0,0,0,44,0,0,0,61,0,0
09-38-51,41,0,47,32,0,60,0,0,0,42,0,0,0,61,0,0
09-39-01,43,0,52,31,0,60,0,0,0,37,0,0,0,61,32,0
09-39-11,42,0,48,33,0,60,0,0,0,43,0,0,0,61,31,0
