date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-08-01,0,0,0,33,0,0,42,0,0,0,0,0,0,0,38,0
09-08-11,0,0,33,34,0,0,43,0,0,0,0,0,0,0,37,0
09-08-21,0,0,33,33,0,0,43,0,0,0,0,0,0,0,0,0
09-08-31,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-08-41,0,0,0,0,0,0,43,0,0,0,0,0,0,0,38,0
09-08-51,0,0,33,33,0,0,42,0,0,0,0,0,0,0,37,0
09-09-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-09-11,0,0,0,33,0,0,44,0,0,0,0,0,0,0,38,0
09-09-21,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-09-31,0,0,0,33,0,0,43,0,0,0,0,0,0,0,38,0
09-09-41,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-09-51,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-10-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-10-11,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-10-21,0,0,34,33,0,0,45,0,0,0,0,0,0,0,38,0
09-10-31,0,0,33,33,0,0,44,0,0,0,0,0,0,0,38,0
09-10-41,0,0,33,0,0,0,43,0,0,0,0,0,0,0,38,0
09-10-51,0,0,33,33,0,0,44,0,0,0,0,0,0,0,39,0
09-11-01,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-11-11,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-11-21,0,0,33,33,0,0,43,0,0,0,0,0,0,0,39,0
09-11-31,0,0,0,33,0,0,43,0,0,0,0,0,0,0,38,0
09-11-41,0,0,33,33,0,0,42,0,0,0,0,0,0,0,37,0
09-11-51,0,0,33,0,0,0,43,0,0,0,0,0,0,0,38,0
09-12-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-12-11,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-12-21,0,0,33,0,0,0,42,0,0,0,0,0,0,0,38,0
09-12-31,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-12-41,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-12-51,0,0,0,33,0,0,44,0,0,0,0,0,0,0,38,0
09-13-01,0,0,0,33,0,0,44,0,0,0,0,0,0,0,38,0
09-13-11,0,0,33,34,0,0,43,0,0,0,0,0,0,0,37,0
09-13-21,0,0,33,0,0,0,40,0,0,0,0,0,0,0,39,0
09-13-31,0,0,0,33,0,0,40,0,0,0,0,0,0,0,40,0
09-13-41,0,0,33,33,0,0,40,0,0,0,0,0,0,0,40,0
09-13-51,0,0,0,33,0,0,39,0,0,0,0,0,0,0,40,0
09-14-01,0,0,0,34,0,0,39,0,0,0,0,0,0,0,39,0
09-14-11,0,0,0,34,0,0,40,0,0,0,0,0,0,0,39,0
09-14-21,0,0,0,33,0,0,39,0,0,0,0,0,0,0,40,0
09-14-31,0,0,0,33,0,0,39,0,0,0,0,0,0,33,40,0
09-14-41,0,0,0,33,0,0,39,0,0,0,0,0,0,0,40,0
09-14-51,0,0,33,0,0,0,38,0,0,0,0,0,0,0,40,0
09-15-01,0,0,33,0,0,0,38,0,0,0,0,0,0,0,41,0
09-15-11,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-15-21,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-15-31,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-15-41,0,0,34,0,0,0,40,0,0,0,0,0,0,0,39,0
09-15-51,0,0,33,0,0,0,38,0,0,0,0,0,0,0,40,0
09-16-01,0,0,33,0,0,0,37,0,0,0,0,0,0,0,39,0
09-16-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,39,0
09-16-21,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-16-31,0,0,33,0,0,0,41,0,0,0,0,0,0,0,40,0
09-16-41,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-16-51,0,0,33,0,0,0,37,0,0,0,0,0,0,0,40,0
09-17-01,0,0,33,0,0,0,40,0,0,0,0,0,0,0,40,0
09-17-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,40,0
09-17-21,0,0,33,0,0,0,39,0,0,0,0,0,0,0,39,0
09-17-31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,39,0
09-17-41,0,0,33,0,0,0,38,0,0,0,0,0,0,0,40,0
09-17-51,0,0,33,0,0,0,39,0,0,0,0,0,0,0,39,0
09-18-01,0,0,33,0,0,0,40,0,0,0,0,0,0,0,40,0
09-18-11,0,0,33,0,0,0,38,0,0,0,0,0,0,0,41,0
09-18-21,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-18-31,0,0,0,0,0,0,39,0,0,0,0,0,0,0,40,0
09-18-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,40,0
09-18-51,0,0,33,0,0,0,37,0,0,0,0,0,0,0,39,0
09-19-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,41,0
09-19-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,40,0
09-19-21,0,0,33,0,0,0,40,0,0,0,0,0,0,0,39,0
09-19-31,0,0,34,0,0,0,39,0,0,0,0,0,0,0,40,0
09-19-41,0,0,33,0,0,0,38,0,0,0,0,0,0,0,40,0
09-19-51,0,0,34,0,0,0,37,0,0,0,0,0,0,0,40,0
09-20-01,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-20-11,0,0,0,0,0,0,39,0,0,0,0,0,0,0,40,0
09-20-21,0,0,0,0,0,0,41,0,0,0,0,0,0,0,39,0
09-20-31,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0
09-20-41,0,0,33,0,0,0,43,0,0,0,0,0,0,0,40,0
09-20-51,0,0,0,0,0,0,35,0,0,0,0,0,0,0,39,0
09-21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-21-11,0,0,33,0,0,0,0,0,0,0,0,0,33,0,36,0
09-21-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0
09-21-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,35,0
09-21-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-21-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-22-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-22-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-22-31,0,0,0,0,0,0,35,0,0,0,0,0,33,0,36,0
09-22-41,0,0,0,0,0,0,0,0,0,0,0,0,33,0,35,0
09-22-51,0,0,0,0,0,0,34,0,0,0,0,0,33,0,34,0
09-23-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,34,0
09-23-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-23-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-23-31,0,0,0,0,0,0,0,0,0,0,0,0,33,0,34,0
09-23-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-23-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-24-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,36,0
09-24-11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-24-21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-24-51,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-25-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-25-21,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-25-31,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-25-41,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-25-51,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-26-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-26-11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-26-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-26-41,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-26-51,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-27-01,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-27-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-27-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-27-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-28-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-28-11,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-28-21,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-28-31,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-28-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-28-51,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-29-11,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-29-21,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-29-31,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-29-41,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-29-51,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-30-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-30-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-30-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-30-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-30-41,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-30-51,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-31-01,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-31-51,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-33-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-35-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-35-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-35-21,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-37-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-37-51,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-38-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-38-11,0,0,33,0,0,0,0,0,0,0,0,0,0,34,0,0
09-38-31,0,0,36,0,0,0,0,0,0,0,0,0,0,33,0,0
09-38-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-39-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-39-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-42-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-47-51,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-48-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-53-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-54-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-54-11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-54-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-54-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-55-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-02-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-21-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-23-31,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-28-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-29-41,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-33-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-37-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-40-01,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
10-41-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
11-32-21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-32-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-41-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-45-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
12-04-41,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
12-05-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-18-31,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
12-22-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-43-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-44-21,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-44-31,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-44-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-44-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-45-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-45-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-45-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-45-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-45-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-45-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-46-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-46-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-46-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-46-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-46-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-46-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-47-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-47-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-47-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-47-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-47-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-47-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-48-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-48-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-48-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-48-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-48-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-49-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-49-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-49-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-49-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-49-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-50-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-50-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-50-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-50-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-50-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-51-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-51-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-51-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-51-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-51-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-51-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-52-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-52-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-52-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-52-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-52-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-52-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-53-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-53-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-53-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-53-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-53-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-53-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-54-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-54-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-54-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-54-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-54-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-54-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-55-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-55-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-55-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-55-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-55-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-55-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-56-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-56-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-56-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-56-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-56-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-56-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-57-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-57-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-57-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-57-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-57-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-57-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-58-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-58-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-58-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-58-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-58-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-58-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-59-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-59-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-59-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-59-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-59-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-59-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-00-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-00-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-00-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-00-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-00-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-00-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-01-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-01-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-02-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-02-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-02-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-03-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-03-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-04-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-04-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-04-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-05-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-05-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-06-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-06-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-06-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-07-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-07-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
