date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-24-97,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-27,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-41,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-51,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-87,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-97,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-99,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-26-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-26-07,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-46-19,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
10-01-56,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-01-63,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-01-64,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-01-69,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-01-76,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-04-24,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-04-58,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-20-26,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-20-31,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-21-37,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-23-58,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-23-97,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-24-88,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-25-04,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-43-41,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-43-51,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10-44-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-52-51,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-59-51,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-18-11,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
11-20-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-45-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
11-45-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
11-46-31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-46-41,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
11-50-21,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
11-53-31,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
11-53-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-54-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-54-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-54-21,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
11-54-31,0,0,0,0,0,0,32,0,34,0,0,0,0,0,0,0
11-54-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-55-01,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
11-59-11,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
11-64-46,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-66-39,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-68-12,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-84-08,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-84-28,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-84-55,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-85-03,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-85-28,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-86-06,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-86-28,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
11-87-99,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
12-01-51,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
12-05-11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
12-05-21,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
12-07-01,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-10-01,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
12-12-11,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
12-13-31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
