date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-27-21,43,60,46,0,0,62,0,0,0,0,0,0,0,59,0,48
09-27-31,45,62,47,0,0,61,0,0,0,0,0,0,0,62,0,45
09-27-41,44,62,50,0,0,62,0,0,0,0,0,0,0,57,0,48
09-27-51,45,62,0,0,0,61,33,0,0,0,0,0,0,57,0,48
09-28-01,43,59,50,0,0,61,33,0,0,0,0,0,0,57,0,49
09-28-11,43,60,49,0,0,61,0,0,0,0,0,0,0,57,0,49
09-28-21,43,62,46,0,0,62,0,0,0,0,0,0,0,60,0,49
09-28-31,43,61,47,0,0,62,0,35,0,0,0,0,0,58,0,48
09-28-41,46,60,43,0,0,62,0,0,0,0,0,0,0,58,0,50
09-28-51,44,59,43,0,0,63,0,34,0,0,0,0,0,54,0,50
09-29-01,44,61,46,0,0,61,32,0,0,0,0,0,0,58,0,48
09-29-11,48,61,50,0,0,61,0,0,0,0,0,0,0,57,0,48
09-29-21,45,61,47,0,0,60,0,0,0,0,0,0,0,57,0,48
09-29-31,44,61,46,0,0,63,0,0,0,0,0,0,0,53,0,48
09-29-41,45,61,0,0,0,62,0,0,0,0,0,0,0,58,0,48
09-29-51,45,62,47,0,0,63,0,0,0,0,0,0,0,58,0,48
09-30-01,0,60,45,0,0,61,0,0,0,0,0,0,0,55,0,49
09-30-11,38,61,47,0,0,60,32,0,0,0,0,0,0,57,0,49
09-30-21,44,61,39,0,0,57,0,0,0,0,0,0,0,0,0,49
09-30-31,44,61,49,0,0,61,0,0,0,0,0,0,0,56,0,48
09-30-41,36,57,46,0,0,53,32,0,0,0,0,0,0,59,0,46
09-30-51,0,43,46,0,0,48,0,0,0,0,0,0,0,51,0,0
09-31-01,0,44,44,0,0,42,0,0,0,0,0,0,0,50,0,0
09-31-11,0,47,45,0,0,45,33,0,0,0,0,0,36,0,0,0
09-31-21,0,43,49,0,0,43,0,0,0,0,0,0,0,52,0,0
09-31-31,0,41,50,0,0,50,0,0,0,0,0,0,0,46,0,0
09-31-41,0,46,50,0,0,47,0,0,0,0,0,0,0,43,0,0
09-31-51,0,45,49,0,0,52,0,0,0,0,0,0,0,44,0,0
09-32-01,0,46,46,0,0,46,0,0,0,0,0,0,0,48,0,0
09-32-11,0,47,48,0,0,53,0,0,0,0,0,0,0,45,0,0
09-32-21,0,49,46,0,0,50,0,0,0,0,0,0,0,46,0,0
09-32-31,0,45,49,0,0,53,0,0,0,0,0,0,0,47,0,0
09-32-41,0,48,49,0,0,50,0,0,0,0,0,0,0,45,0,0
09-32-51,0,46,44,0,0,50,33,0,0,0,0,0,0,43,0,0
09-33-01,0,46,45,0,0,50,0,0,0,0,0,0,0,42,0,0
09-33-11,0,46,43,0,0,52,0,0,0,0,0,0,0,45,0,0
09-33-21,0,42,48,0,0,50,0,0,0,0,0,0,0,45,0,0
09-33-31,0,40,44,0,0,49,0,0,0,0,0,0,32,46,0,0
09-33-41,0,43,45,0,0,49,0,0,0,0,0,0,0,43,0,0
09-33-51,0,45,47,0,0,46,0,0,0,0,0,0,0,52,0,0
09-34-01,0,46,46,0,0,46,0,0,0,0,0,0,0,52,0,0
09-34-11,0,43,44,0,0,46,0,0,0,0,0,0,0,48,0,0
09-34-21,0,42,47,0,0,34,0,0,0,0,0,0,0,44,32,0
09-34-31,0,46,43,0,0,36,36,0,0,0,0,0,0,48,0,0
09-34-41,0,46,44,0,0,41,41,0,0,0,0,0,0,52,0,0
09-34-51,0,41,0,0,0,34,41,0,0,0,0,0,0,44,0,0
09-35-01,0,44,40,0,0,0,47,0,0,0,0,0,0,48,0,0
09-35-11,0,0,0,0,0,42,46,0,0,0,0,0,0,47,0,0
09-35-21,0,48,38,0,0,40,0,0,0,0,0,0,0,46,0,0
09-35-31,0,46,39,0,0,46,0,0,0,0,0,0,0,48,0,0
09-35-41,0,47,44,0,0,39,0,0,0,0,0,0,0,50,0,0
09-35-51,0,42,49,0,0,43,0,0,0,0,0,0,0,52,0,0
09-36-01,0,40,48,0,0,36,0,0,0,0,0,0,0,41,0,0
09-36-11,0,42,46,0,0,38,0,0,0,0,0,0,0,43,0,0
09-36-21,0,39,49,0,0,0,0,0,0,0,0,0,0,40,0,0
09-36-31,0,32,47,0,0,34,0,0,0,0,0,0,0,44,0,0
09-36-41,0,45,44,0,0,48,0,0,0,0,0,0,0,53,0,0
09-36-51,0,45,48,0,0,41,0,0,0,0,0,0,0,51,0,0
09-37-01,0,35,47,0,0,35,0,0,0,0,0,0,0,51,0,0
09-37-11,0,43,45,0,0,48,0,0,0,0,0,0,0,50,0,0
