date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice
14-26-01,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
14-27-11,0,0,0,0,0,0,0,0,0,37,0,0,0,0,42,0
14-28-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,45,0
14-29-01,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
14-30-01,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
14-36-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
14-37-21,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
14-38-51,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
14-39-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-40-01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-41-01,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-42-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-44-11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-45-01,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-47-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-49-21,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
14-51-31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
14-52-31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-54-21,0,0,0,0,0,37,0,0,0,37,0,0,0,38,0,0
14-55-51,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-56-11,0,41,38,0,0,0,0,0,0,0,0,0,0,37,0,0
14-57-01,0,44,42,37,0,0,0,0,0,0,0,0,0,0,42,0
14-58-01,0,45,0,38,0,0,0,0,0,0,0,0,0,0,42,0
14-59-01,0,45,0,36,0,0,0,0,0,0,0,0,0,0,40,0
15-00-01,0,44,0,0,0,0,0,0,0,0,0,0,0,0,41,0
15-01-01,0,45,0,0,0,0,0,0,0,0,0,0,0,0,37,0
