date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
09-43-41,0,0,0,35,0,0,39,0,0,0,0,0,0,0,0,0
09-43-51,0,0,0,33,0,0,33,0,0,34,0,0,0,0,0,0
09-44-01,0,0,0,38,0,0,37,0,0,0,0,0,0,0,0,0
09-44-21,0,0,0,0,0,0,35,0,0,35,0,0,0,0,0,0
09-44-31,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
09-44-41,0,0,0,0,0,0,36,0,0,38,0,0,0,0,0,0
09-44-51,0,0,0,34,0,0,0,0,0,37,0,0,0,0,0,0
09-45-01,0,0,0,33,0,35,0,0,0,0,0,0,0,36,0,0
09-45-11,0,32,34,46,0,0,38,0,0,0,0,0,0,35,0,0
09-45-21,45,0,38,0,0,0,36,0,0,0,0,0,0,0,0,0
09-45-31,0,0,0,0,0,34,34,0,0,0,0,0,34,0,0,0
09-45-41,0,0,0,0,0,0,34,0,32,0,0,0,0,0,0,0
09-45-51,0,0,0,34,0,0,43,0,0,0,0,0,0,0,0,0
09-46-11,0,0,0,33,0,34,32,0,0,0,0,0,0,35,0,0
09-46-21,0,0,0,0,0,0,35,0,0,0,0,0,0,37,0,0
09-46-31,0,0,34,0,0,0,35,0,0,0,0,0,0,35,0,0
09-46-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,39
09-46-51,0,0,0,37,0,33,36,0,0,0,0,0,0,0,0,0
09-47-21,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
09-47-41,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
09-47-51,35,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
09-48-01,0,34,38,40,0,0,0,0,0,0,0,0,0,0,0,0
09-48-11,0,0,0,0,37,0,0,0,0,35,0,0,0,0,0,0
09-48-21,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
09-48-31,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
09-48-41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
09-48-51,0,0,0,0,0,0,0,0,33,38,0,0,0,0,0,0
09-49-01,0,0,0,36,0,0,0,0,0,32,0,0,0,0,0,0
09-49-11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-49-21,38,0,0,32,0,0,49,0,0,0,0,0,0,0,0,0
09-49-31,0,0,0,0,0,0,39,0,0,0,0,0,0,33,0,0
09-49-41,0,0,0,0,0,0,34,0,0,0,0,0,0,33,0,0
09-49-51,0,0,0,0,0,0,35,0,0,0,0,35,0,0,0,0
09-50-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-50-11,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0
09-50-21,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0
09-50-31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-50-41,0,0,0,0,0,0,39,0,0,0,0,0,0,35,0,0
09-50-51,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-51-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-51-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-51-21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-51-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-52-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
09-52-21,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-52-31,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-52-41,0,0,0,43,0,0,36,0,0,0,0,0,0,0,0,0
09-52-51,36,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-53-01,37,0,0,37,0,0,33,0,0,0,0,0,0,0,0,0
09-53-11,0,0,0,41,0,0,39,0,0,0,0,0,0,0,0,0
09-53-21,0,0,0,34,0,0,40,0,0,0,0,0,0,0,0,0
09-53-31,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
09-53-41,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-53-51,0,0,0,0,0,35,41,0,0,0,0,0,0,36,0,0
09-54-01,0,0,0,0,0,0,44,0,0,0,0,0,0,35,0,0
09-54-11,0,0,37,39,0,33,36,0,0,0,0,0,0,32,0,38
09-54-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,34
09-54-31,0,0,0,32,0,36,38,0,0,0,0,0,0,0,0,0
09-54-41,0,0,0,32,0,34,0,0,0,0,0,0,0,0,0,0
09-54-51,0,0,0,40,0,0,43,0,0,0,0,0,0,0,0,0
09-55-01,0,0,39,45,0,0,36,0,0,0,0,0,0,0,0,0
09-55-11,0,0,37,41,0,34,37,0,0,0,0,0,0,0,0,0
09-55-21,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
09-55-31,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
09-55-41,36,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-55-51,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-56-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-56-11,0,0,35,38,0,0,35,0,0,0,0,0,0,0,0,0
09-56-21,0,0,0,0,0,0,37,0,0,0,0,0,0,32,0,0
09-56-31,0,0,0,34,0,0,38,0,0,0,0,0,0,0,0,0
09-56-41,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-56-51,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-57-01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-57-21,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-58-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-58-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-58-41,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0
09-58-51,0,0,36,0,0,0,0,0,0,0,0,0,0,32,0,0
09-59-01,0,0,35,34,0,0,0,0,0,0,0,0,0,0,0,0
09-59-11,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-59-31,0,0,34,0,0,0,0,41,0,0,0,0,0,35,0,0
09-59-51,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-00-01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-31,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-01-41,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
10-01-51,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-02-21,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02-41,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-02-51,0,0,0,33,0,0,0,0,0,36,0,0,0,0,0,0
10-03-21,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-05-51,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-01,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
10-06-21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-07-11,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-21,0,0,35,0,0,0,33,0,0,0,0,0,0,0,0,0
10-09-31,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-41,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
10-10-11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-01,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-11,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10-12-31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-13-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
