date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
15-17-01,0,39,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-18-01,0,39,31,0,0,0,0,0,0,0,0,0,0,32,0,0
15-19-01,0,39,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-20-01,0,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0
15-21-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-22-01,0,39,31,0,0,0,0,0,0,0,0,0,0,32,0,0
15-23-01,0,40,31,0,0,0,0,0,0,0,0,0,0,32,0,0
15-24-01,0,39,32,0,0,0,0,0,0,0,0,0,0,33,0,0
15-25-01,0,39,32,0,0,0,0,0,0,0,0,0,0,0,0,0
15-26-01,0,41,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-27-01,0,40,0,0,0,0,0,0,0,0,0,0,0,34,0,0
15-28-01,0,40,0,0,0,0,0,0,0,0,0,0,0,35,0,0
15-29-01,0,40,0,0,0,0,0,0,0,0,0,0,0,34,0,0
15-30-01,0,40,0,0,0,0,0,0,0,0,0,0,0,35,0,0
15-31-01,0,41,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-32-01,0,41,0,0,0,0,0,0,0,0,0,0,0,34,0,0
15-33-01,0,39,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-34-01,0,41,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-35-01,0,40,0,0,0,0,0,0,0,0,0,0,0,34,0,0
15-36-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-37-01,0,40,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-38-01,0,40,0,0,0,0,0,0,0,0,0,0,0,35,0,0
15-39-01,0,40,0,0,0,0,0,0,0,0,0,0,0,34,0,0
15-40-01,0,40,0,0,0,0,0,0,0,0,0,0,0,35,0,0
15-41-01,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-42-01,0,45,31,0,0,0,0,0,0,0,0,0,0,31,0,0
15-43-01,0,46,32,0,0,0,0,0,0,0,0,0,0,0,0,0
15-44-01,0,39,0,0,0,0,0,0,0,0,0,0,0,33,0,0
