date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-17-51,0,57,0,0,0,58,51,0,56,44,0,0,0,0,50,0
09-18-01,0,58,56,0,0,58,53,42,55,52,0,0,0,0,50,0
09-18-11,0,54,56,0,0,56,52,0,0,0,0,0,35,0,50,0
09-18-21,0,0,52,0,0,58,0,0,0,52,0,0,35,0,50,33
09-18-31,0,57,53,0,0,58,53,42,53,52,0,0,0,0,0,33
09-18-41,0,58,0,0,0,58,53,40,0,51,0,0,35,0,49,0
09-18-51,0,56,56,0,0,58,54,0,54,50,0,0,0,0,0,0
09-19-01,0,57,56,0,0,58,53,42,54,0,0,0,33,0,49,0
09-19-11,0,57,55,0,0,59,54,45,58,0,0,0,0,0,50,0
09-19-21,0,57,55,0,0,59,54,42,56,0,0,0,36,0,0,0
09-19-31,0,0,56,0,0,58,51,0,55,50,0,0,35,0,0,0
09-19-41,0,57,56,0,0,58,54,42,55,0,0,0,34,0,49,0
09-19-51,0,57,54,0,0,58,53,42,0,0,0,0,36,0,50,0
09-20-01,0,58,55,0,0,58,51,0,56,48,0,0,35,0,0,0
09-20-11,0,55,56,0,0,58,0,0,55,0,0,0,0,0,49,0
09-20-21,0,55,0,0,0,58,0,42,52,52,0,0,36,0,50,39
09-20-31,0,57,56,0,0,57,53,0,56,53,0,0,37,0,50,0
09-20-41,0,57,56,0,0,59,0,42,54,47,0,0,0,0,49,0
09-20-51,0,57,56,0,0,58,51,0,0,52,0,0,35,0,47,34
09-21-01,0,56,56,0,0,58,41,0,55,56,0,0,0,0,41,35
09-21-11,0,58,52,0,0,58,0,0,56,54,0,0,0,0,44,0
09-21-21,0,57,55,0,0,58,0,0,56,53,0,0,38,0,39,0
09-21-31,0,58,56,0,0,57,0,0,55,42,0,0,39,0,45,34
09-21-41,0,56,55,0,0,53,31,0,56,53,0,0,38,0,44,0
09-21-51,0,58,58,0,0,58,36,0,55,53,0,0,42,0,39,0
09-22-01,0,58,57,0,0,59,0,0,55,50,0,0,0,0,43,35
09-22-11,0,59,0,0,0,57,0,0,54,52,0,0,36,0,40,0
09-22-21,0,58,56,0,0,59,0,0,54,53,0,0,36,0,40,37
09-22-31,0,58,55,0,0,58,56,0,55,0,0,0,39,0,39,35
09-22-41,0,56,0,0,0,60,0,0,55,54,0,0,36,0,45,0
09-22-51,0,58,54,0,0,57,56,0,54,54,0,0,35,0,38,0
09-23-01,0,58,56,0,0,59,58,0,56,54,0,0,37,0,0,0
09-23-11,0,58,51,0,0,58,0,0,55,54,0,0,0,0,43,33
09-23-21,0,56,49,0,0,61,0,0,55,49,0,0,39,0,40,0
09-23-31,0,57,54,0,0,58,0,0,55,54,0,0,37,0,43,37
09-23-41,0,58,55,0,0,57,0,0,55,0,0,0,0,0,45,37
09-23-51,0,58,54,0,0,58,0,0,54,53,0,0,0,0,49,0
09-24-01,0,53,56,0,0,58,0,0,55,50,0,0,38,0,40,0
09-24-11,0,0,49,0,0,57,35,0,54,51,0,0,35,0,35,0
09-24-21,0,57,51,0,0,58,41,0,55,51,0,0,36,0,38,0
09-24-31,0,55,54,0,0,59,49,0,56,50,0,0,34,0,34,35
09-24-41,0,0,51,0,0,60,0,0,55,56,0,0,0,0,39,0
09-24-51,0,56,46,0,0,60,0,0,0,54,0,0,0,0,0,0
09-25-01,0,0,51,0,0,58,0,0,55,0,0,0,34,0,38,35
09-25-11,0,58,51,0,0,60,0,0,54,54,0,0,34,0,0,0
09-25-21,0,56,51,0,0,60,0,0,0,55,0,0,36,0,38,0
09-25-31,32,57,49,0,0,58,0,0,0,57,0,0,35,0,0,33
09-25-41,0,57,50,0,0,58,0,0,0,56,0,0,34,0,0,0
09-25-51,0,56,48,0,0,58,0,0,0,52,0,0,35,0,42,0
09-26-01,0,56,46,0,0,57,0,0,39,58,0,0,33,0,0,0
09-26-11,0,56,52,0,0,59,0,0,0,57,0,0,35,0,40,37
09-26-21,0,58,49,0,0,59,0,0,0,56,0,0,0,0,55,37
09-26-31,0,58,52,0,0,57,37,0,0,55,0,0,35,0,35,0
09-26-41,0,56,51,0,0,59,0,0,0,57,0,0,35,0,0,36
09-26-51,0,58,52,0,0,59,42,0,0,58,0,0,34,0,31,37
09-27-01,0,56,52,0,0,59,0,0,0,57,0,0,33,0,0,38
09-27-11,32,58,47,0,0,59,0,0,0,58,0,0,33,0,0,37
09-27-21,31,58,53,0,0,60,0,0,0,58,0,0,36,0,0,35
09-27-31,0,59,52,0,0,58,0,0,0,58,0,0,36,0,0,35
09-27-41,0,60,52,0,0,59,0,0,0,58,0,0,35,0,0,38
09-27-51,0,57,38,0,0,60,0,0,0,56,0,0,0,0,0,0
09-28-01,0,57,49,0,0,60,36,0,0,0,0,0,0,0,0,0
09-28-11,0,57,47,0,0,59,0,0,0,57,0,0,33,0,0,0
09-28-21,0,57,42,0,0,59,0,35,0,58,0,0,34,0,0,35
09-28-31,0,55,47,0,0,58,38,0,0,0,0,0,0,0,0,36
09-28-41,0,59,50,0,0,57,35,36,0,56,0,0,0,0,0,0
09-28-51,0,58,47,0,0,57,31,0,0,53,0,0,32,0,0,35
09-29-01,0,57,48,31,0,60,31,0,0,56,0,0,32,0,0,35
09-29-11,33,57,51,0,0,59,0,0,0,56,0,0,31,0,0,32
09-29-21,0,57,51,0,0,60,0,0,0,57,0,0,33,0,0,0
09-29-31,0,58,49,0,0,59,0,0,0,53,0,0,0,0,0,33
09-29-41,0,57,50,0,0,57,0,0,0,54,0,0,31,0,0,0
09-29-51,0,57,0,0,0,60,0,0,0,54,0,0,33,0,0,37
09-30-01,0,58,51,0,0,60,0,0,0,56,0,0,32,0,0,35
09-30-11,0,59,49,0,0,59,35,0,0,54,0,0,31,0,0,32
09-30-21,31,58,53,0,0,55,0,0,0,51,0,0,31,0,0,38
09-30-31,0,57,50,0,0,60,0,0,0,56,0,0,31,0,0,34
09-30-41,0,58,47,0,0,57,0,0,0,56,0,0,34,0,0,34
09-30-51,31,60,47,0,0,59,0,0,0,43,0,0,0,0,0,33
09-31-01,0,58,46,0,0,58,0,0,0,48,0,0,31,0,0,36
09-31-11,32,57,0,0,0,58,0,0,0,35,0,0,36,0,0,39
09-31-21,32,58,0,0,0,58,0,0,43,49,0,0,0,0,0,0
09-31-31,0,59,0,0,0,60,0,0,0,46,0,0,0,0,0,0
09-31-41,31,60,43,0,0,62,0,0,0,43,0,0,0,0,0,0
09-31-51,0,60,43,0,0,62,0,0,0,43,0,0,0,0,0,0
09-32-01,0,60,53,0,0,62,31,0,0,47,0,0,36,0,0,0
09-32-11,31,60,45,0,0,62,0,0,0,47,0,0,36,0,0,0
09-32-21,31,60,45,0,0,61,0,0,0,44,0,0,0,0,0,0
09-32-31,0,59,47,0,0,62,0,0,0,0,0,0,0,0,0,0
09-32-41,0,59,42,0,0,63,0,0,0,44,0,0,0,0,0,0
09-32-51,32,61,47,0,0,62,0,0,0,44,0,0,0,0,0,0
09-33-01,32,60,47,0,0,61,0,0,0,42,0,0,0,0,0,0
09-33-11,32,60,43,0,0,61,0,0,0,43,0,0,0,0,0,0
09-33-21,31,60,46,31,0,60,0,0,0,45,0,0,0,0,0,0
09-33-31,31,59,45,0,0,61,0,0,0,43,0,0,0,0,0,0
09-33-41,32,59,47,0,0,61,0,0,0,42,0,0,0,0,0,0
09-33-51,31,60,48,0,0,61,0,0,0,51,0,0,0,0,0,0
09-34-01,0,58,48,0,0,63,0,0,0,53,0,0,0,0,0,0
09-34-11,31,58,46,0,0,61,32,0,0,47,0,0,0,0,0,0
09-34-21,33,58,45,0,0,59,34,0,0,43,0,0,0,0,0,0
09-34-31,31,58,49,0,0,60,0,0,0,48,0,0,0,0,0,0
09-34-41,0,57,48,0,0,60,37,0,0,50,0,0,0,0,0,0
09-34-51,32,58,49,0,0,59,0,0,0,43,0,0,0,0,0,0
09-35-01,33,59,48,0,0,62,35,0,0,49,0,0,0,0,0,0
09-35-11,32,58,47,0,0,60,33,0,0,45,0,0,0,0,0,0
09-35-21,0,59,55,0,0,61,0,0,0,42,0,0,0,0,0,0
09-35-31,0,56,56,0,0,60,0,0,0,48,0,0,0,0,0,0
09-35-41,33,58,56,0,0,62,0,0,0,50,0,0,0,0,0,0
09-35-51,31,60,57,0,0,60,0,0,0,53,0,0,0,0,0,0
09-36-01,32,59,47,0,0,61,31,0,0,39,0,0,0,0,0,0
09-36-11,0,59,0,0,0,61,32,0,0,42,0,0,0,0,0,0
09-36-21,31,59,57,0,0,62,0,0,0,39,0,0,0,0,31,0
09-36-31,31,60,56,0,0,61,0,0,0,42,0,0,0,0,0,0
09-36-41,0,60,57,0,0,60,0,0,0,52,0,0,0,0,0,0
09-36-51,31,58,0,0,0,61,0,0,0,52,0,0,0,0,0,0
09-37-01,0,58,58,0,0,61,0,0,0,47,0,0,0,0,0,0
09-37-11,31,59,57,0,0,62,0,0,0,49,0,0,0,0,0,0
09-37-21,31,58,57,0,0,62,31,0,0,45,0,0,0,0,0,0
09-37-31,31,58,55,0,0,62,31,0,0,47,0,0,0,0,0,0
09-37-41,33,58,55,0,0,63,0,0,0,45,0,0,0,0,0,0
09-37-51,32,59,57,0,0,62,0,0,0,46,0,0,0,0,0,0
09-38-01,32,57,54,0,0,62,34,0,0,46,0,0,0,0,0,0
09-38-11,31,57,54,0,31,62,0,0,0,46,0,0,0,0,0,0
09-38-21,32,59,56,0,0,63,0,0,0,50,0,0,0,0,0,0
09-38-31,31,60,58,0,0,62,0,0,0,49,0,0,0,0,0,0
09-38-41,33,61,57,33,0,62,0,0,0,50,0,0,0,0,0,0
09-38-51,31,60,56,0,0,61,0,0,0,0,0,0,0,0,0,0
09-39-01,33,60,57,0,0,65,0,0,0,51,0,0,0,0,31,0
09-39-11,31,61,55,37,0,62,0,0,0,52,0,0,0,0,31,0
09-39-21,31,59,56,0,0,62,31,0,0,47,0,0,0,0,0,0
09-39-31,32,59,58,0,0,60,0,0,0,48,0,0,0,0,32,0
09-39-41,0,60,55,0,0,64,0,0,0,49,0,0,0,0,0,0
09-39-51,31,60,58,34,0,62,0,0,0,52,0,0,0,0,32,0
09-40-01,31,59,56,0,0,62,0,0,0,52,0,0,0,0,31,0
09-40-11,0,60,58,32,0,61,0,0,0,52,0,0,0,0,0,0
09-40-21,0,60,58,31,0,62,0,0,0,51,0,0,0,0,0,0
09-40-31,31,60,51,0,0,61,0,0,0,52,0,0,33,0,0,0
09-40-41,33,60,58,0,0,62,32,0,0,44,0,0,0,0,38,0
09-40-51,32,59,55,0,0,60,0,0,0,44,0,0,0,0,0,0
09-41-01,31,60,55,0,0,61,0,0,0,49,0,0,0,0,39,0
09-41-11,0,58,52,0,0,58,0,0,0,45,0,0,0,0,31,0
09-41-21,0,57,55,0,0,58,0,0,0,51,0,0,0,0,0,0
09-41-31,0,57,57,0,0,58,35,0,0,49,0,0,0,0,34,0
09-41-41,0,57,55,0,0,59,0,0,0,31,0,0,0,0,0,0
09-41-51,31,56,57,0,0,60,0,0,0,39,0,0,0,0,0,0
09-42-01,0,56,55,0,0,58,0,0,0,39,0,0,0,0,0,0
09-42-11,0,56,51,0,0,57,0,0,0,36,0,0,0,0,34,0
09-42-21,0,56,53,0,0,57,0,0,0,41,0,0,0,0,0,0
09-42-31,0,56,56,0,0,59,0,0,0,42,0,0,0,0,0,0
09-42-41,0,56,54,0,0,58,0,0,0,40,0,0,0,0,0,0
09-42-51,0,56,56,0,0,58,0,0,0,34,0,0,0,0,0,0
09-43-01,0,56,56,0,0,55,0,0,0,34,0,0,0,0,0,0
09-43-11,0,54,55,0,0,58,0,0,0,0,0,0,0,0,0,0
09-43-21,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-43-31,0,55,54,0,0,58,34,0,0,33,0,0,0,0,0,0
09-43-41,0,56,56,0,0,57,33,0,0,40,0,0,0,0,0,0
09-43-51,0,56,56,0,0,56,0,0,0,0,0,0,0,0,0,0
09-44-01,0,56,57,0,0,56,0,0,0,32,0,0,0,0,0,0
09-44-11,0,56,54,0,0,58,0,0,0,0,0,0,0,0,0,0
09-44-21,0,56,56,0,0,58,36,0,0,0,0,0,0,0,0,0
09-44-31,0,58,55,0,0,56,31,0,0,0,0,0,0,0,0,0
09-44-41,0,56,56,0,0,56,31,0,0,0,0,0,0,0,0,0
09-44-51,0,56,56,0,0,57,36,0,0,34,0,0,0,0,0,0
09-45-01,0,56,56,0,0,58,35,0,0,0,0,0,0,0,33,0
09-45-11,0,55,56,0,0,58,33,0,0,0,0,0,0,0,32,0
09-45-21,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-45-31,0,56,56,0,0,59,31,0,0,0,0,0,0,0,34,0
09-45-41,0,56,56,0,0,58,31,0,0,0,0,0,0,0,0,0
09-45-51,0,56,56,0,0,56,0,0,0,0,0,0,0,0,0,0
09-46-01,0,56,54,0,0,57,0,0,0,0,0,0,0,0,31,0
09-46-11,0,56,55,0,0,58,0,0,0,0,0,0,0,0,31,0
09-46-21,0,55,56,0,0,58,0,0,0,0,0,0,0,0,33,0
09-46-31,0,56,56,0,0,58,0,0,0,0,0,0,0,0,32,0
09-46-41,0,56,55,0,0,58,0,0,0,0,0,0,0,0,0,0
09-46-51,0,56,56,0,0,56,0,0,0,0,0,0,0,0,0,0
09-47-01,0,0,55,0,0,58,33,0,0,0,0,0,0,0,0,0
09-47-11,0,56,55,0,0,58,31,0,0,0,0,0,0,0,0,0
09-47-21,0,56,53,0,0,56,32,0,0,0,0,0,0,0,0,0
09-47-31,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-47-41,0,55,57,0,0,58,0,0,0,0,0,0,0,0,0,0
09-47-51,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-48-01,0,56,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-48-11,0,56,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-48-21,0,56,56,0,0,57,31,0,0,0,0,0,0,0,0,0
09-48-31,0,55,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-48-41,0,55,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-48-51,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-49-01,0,56,54,0,0,58,0,0,0,0,0,0,0,0,0,0
09-49-11,0,56,55,0,0,58,0,0,0,0,0,0,0,0,34,0
09-49-21,0,55,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-49-31,0,57,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-49-41,0,56,56,0,0,58,39,0,0,0,0,0,0,0,0,0
09-49-51,0,56,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-50-01,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-50-11,0,55,54,0,0,58,0,0,0,0,0,0,0,0,31,0
09-50-21,0,56,53,0,0,58,31,0,0,0,0,0,0,0,0,0
09-50-31,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-50-41,0,55,56,0,0,57,0,0,0,0,0,0,0,0,32,0
09-50-51,0,55,56,0,0,59,31,0,0,0,0,0,0,0,0,0
09-51-01,0,55,52,0,0,58,0,0,0,0,0,0,0,0,0,0
09-51-11,0,56,56,0,0,59,0,0,0,0,0,0,0,0,0,0
09-51-21,0,55,55,0,0,57,0,0,0,0,0,0,0,0,0,0
09-51-31,0,56,55,31,0,58,0,0,0,0,0,0,0,0,0,0
09-51-41,0,56,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-51-51,0,56,56,0,0,59,34,0,0,0,0,0,0,0,0,0
09-52-01,0,56,56,0,0,57,37,0,0,0,0,0,0,0,0,0
09-52-11,0,56,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-52-21,0,55,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-52-31,0,55,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-52-41,0,56,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-52-51,0,55,56,0,0,59,34,0,0,0,0,0,0,0,0,0
09-53-01,0,56,55,0,0,59,36,0,0,0,0,0,0,0,0,0
09-53-11,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-53-21,0,56,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-53-31,0,56,56,0,0,55,0,0,0,0,0,0,0,0,0,0
09-53-41,0,56,54,0,0,58,0,0,0,0,0,0,0,0,0,0
09-53-51,0,56,51,0,0,57,0,0,0,0,0,0,0,0,32,0
09-54-01,0,55,56,0,0,58,0,0,0,0,0,0,0,0,31,0
09-54-11,0,56,56,0,0,58,39,0,0,0,0,0,0,0,0,0
09-54-21,0,56,56,0,0,58,33,0,0,0,0,0,0,0,0,0
09-54-31,0,55,54,0,0,58,0,0,0,0,0,0,0,0,31,0
09-54-41,0,56,56,0,0,57,31,0,0,0,0,0,0,0,0,0
09-54-51,0,56,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-55-01,0,55,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-55-11,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-55-21,0,54,53,0,0,56,0,0,0,0,0,0,0,0,0,0
09-55-31,0,56,52,0,0,58,0,0,0,0,0,0,0,0,0,0
09-55-41,0,55,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-55-51,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-56-01,0,56,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-56-11,0,56,54,0,0,58,34,0,0,0,0,0,0,0,0,0
09-56-21,0,56,56,0,0,58,0,0,0,0,0,0,0,0,31,0
09-56-31,0,55,56,0,0,59,0,0,0,0,0,0,0,0,0,0
09-56-41,0,56,56,31,0,58,0,0,0,0,0,0,0,0,0,0
09-56-51,0,55,56,0,0,58,37,0,0,0,0,0,0,0,0,0
09-57-01,0,55,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-57-11,0,56,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-57-21,0,54,53,0,0,56,35,0,0,0,0,0,0,0,0,0
09-57-31,0,55,53,0,0,55,0,0,0,0,0,0,0,0,0,0
09-57-41,0,56,55,0,0,59,0,0,0,0,0,0,0,0,0,0
