date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
13-57-01,0,46,0,0,0,0,46,0,0,0,0,0,0,47,61,36
13-58-01,0,46,0,0,0,0,32,0,39,0,0,0,0,0,61,0
13-59-01,0,46,0,0,0,0,41,0,39,0,0,0,0,51,62,0
14-00-01,0,46,0,0,0,0,43,0,34,0,0,0,0,50,60,0
14-01-01,0,45,0,0,0,0,0,0,0,0,0,0,0,53,61,0
14-02-01,0,48,0,0,0,0,52,0,0,0,0,0,0,43,60,0
14-03-01,0,47,0,0,0,36,0,0,0,0,0,0,0,49,61,0
14-04-01,0,46,0,33,0,0,34,0,34,0,0,0,0,51,62,0
14-05-01,0,46,36,0,0,35,36,0,0,0,0,0,0,51,61,0
14-06-01,0,47,0,0,0,0,36,0,0,0,0,0,0,54,62,0
14-07-01,0,48,0,0,0,0,0,0,0,0,0,0,0,47,61,0
14-08-01,0,46,33,0,0,0,40,0,0,0,0,0,0,49,61,0
14-09-01,0,47,0,0,0,0,39,0,0,0,0,0,0,49,61,0
14-10-01,0,47,0,0,0,0,0,0,34,0,0,0,0,50,61,33
14-11-01,0,47,0,0,0,0,34,0,0,0,0,0,0,51,61,0
14-12-01,0,0,0,0,0,0,42,0,0,0,0,0,0,51,61,0
14-13-01,0,47,0,0,0,0,36,0,0,0,0,0,0,50,61,0
14-14-01,0,47,32,0,0,0,35,0,34,0,0,0,0,50,61,0
14-15-01,0,0,32,0,0,0,33,0,0,0,0,0,0,50,61,0
14-16-01,0,47,0,0,0,0,45,0,0,0,0,0,0,50,61,0
14-17-01,0,47,36,0,0,0,41,0,0,0,0,0,0,51,61,0
14-18-01,0,47,0,0,0,0,44,0,0,0,0,0,0,50,60,0
14-19-01,0,47,0,0,0,0,35,0,0,0,0,0,0,47,61,0
14-20-01,0,46,0,0,0,0,0,0,0,0,0,0,0,47,61,0
14-21-01,0,47,0,0,0,0,0,0,0,0,0,0,0,48,62,0
14-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,48,61,0
14-23-01,0,46,0,0,0,0,37,0,0,0,0,0,0,51,61,34
14-24-01,0,47,33,0,0,0,34,0,0,0,0,0,0,50,61,0
14-25-01,0,48,0,0,0,34,36,0,0,0,0,0,0,50,61,34
14-26-01,0,47,0,0,0,0,0,0,0,0,0,0,0,50,61,33
14-27-01,0,46,0,0,0,0,0,0,0,0,0,0,0,49,61,0
14-28-01,0,46,0,0,0,0,0,0,0,0,0,0,0,51,61,32
14-29-01,0,47,37,0,0,0,0,0,0,0,0,0,0,43,61,34
14-30-01,0,47,0,0,0,0,0,0,0,0,0,0,0,50,62,36
14-31-01,0,46,0,0,0,0,0,0,0,0,0,0,0,49,62,0
14-32-01,0,0,41,0,0,0,35,0,0,0,0,0,0,50,61,0
14-33-01,0,46,0,0,0,0,33,0,0,0,0,0,0,53,61,0
14-34-01,0,46,0,0,0,0,32,0,0,0,0,0,0,52,61,0
14-35-01,0,46,0,32,0,0,0,0,0,0,0,0,0,52,62,0
14-36-01,0,46,0,0,0,33,0,0,0,0,0,0,0,49,61,0
14-37-01,0,46,0,0,0,0,0,0,0,0,0,0,0,50,61,0
14-38-01,0,46,0,0,0,0,0,0,0,0,0,0,0,52,61,0
14-39-01,0,46,0,0,0,0,0,0,0,0,0,0,0,51,61,0
14-40-01,0,46,0,36,0,0,0,0,0,0,0,0,0,52,61,0
14-41-01,0,0,0,34,0,0,48,0,0,0,0,0,0,51,62,0
14-42-01,0,0,0,0,0,32,40,0,0,0,0,0,0,52,61,0
14-43-01,0,47,0,0,0,0,0,0,0,0,0,0,0,52,61,0
14-44-01,0,47,0,0,0,0,0,0,0,0,0,0,0,51,61,0
14-45-01,0,46,0,0,0,0,0,0,0,0,0,0,0,52,60,0
14-46-01,0,46,0,0,0,0,0,0,0,0,0,0,0,51,60,0
14-47-01,0,47,0,0,0,34,35,0,0,0,0,0,0,51,61,0
14-48-01,0,46,0,0,0,0,0,0,0,0,0,0,0,52,61,0
14-49-01,0,46,0,0,0,33,0,0,0,0,0,0,0,52,62,0
14-50-01,0,46,0,0,0,0,0,0,0,0,0,0,0,52,61,0
14-51-01,0,47,0,40,0,0,0,0,0,0,0,0,0,52,61,0
14-52-01,0,0,0,52,0,44,0,0,0,0,0,0,0,53,62,0
14-53-01,0,43,40,34,0,34,0,0,0,0,0,0,0,52,62,0
14-54-01,0,46,34,0,0,44,0,0,0,0,0,0,0,50,62,0
14-55-01,0,49,0,38,0,58,0,0,0,0,0,0,0,46,63,0
14-56-01,0,45,47,56,0,58,0,0,0,0,0,0,0,50,60,0
14-57-01,0,49,49,55,0,55,0,0,0,0,0,0,0,0,63,0
14-58-01,0,49,41,56,0,56,0,0,0,0,0,0,0,0,62,0
14-59-01,0,0,41,54,0,59,0,0,0,0,0,0,0,46,62,0
15-00-01,0,50,0,56,0,59,0,0,0,0,0,0,0,0,61,0
15-01-01,0,48,0,57,0,56,0,59,0,0,0,0,0,0,60,0
15-02-01,0,48,37,0,0,57,0,57,0,0,0,0,0,0,62,0
