date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-05-51,0,0,40,0,0,0,0,0,0,0,0,0,0,38,0,0
10-06-11,0,0,41,0,0,0,0,0,0,0,0,0,0,38,0,0
10-06-21,0,0,43,0,0,0,0,0,0,0,0,0,0,38,0,0
10-06-31,0,0,42,0,0,0,0,0,0,0,0,0,0,38,0,0
10-06-41,0,0,42,0,0,0,0,0,0,0,0,0,0,38,0,0
10-06-51,0,0,42,0,0,0,0,0,0,0,0,0,0,38,0,0
10-07-01,0,0,46,0,0,0,0,0,0,0,0,0,0,38,0,0
10-07-11,0,0,44,0,0,0,0,0,0,0,0,0,0,38,0,0
10-07-21,0,0,43,0,0,0,0,0,0,0,0,0,0,38,0,0
10-07-31,0,0,43,0,0,0,0,0,0,0,0,0,0,38,0,0
10-07-41,0,0,45,0,0,0,0,0,0,0,0,0,0,38,0,0
10-07-51,0,0,43,0,0,0,0,0,0,0,0,0,0,38,0,0
10-08-01,0,0,43,0,0,0,0,0,0,0,0,0,0,38,0,0
10-08-11,0,0,44,0,0,0,0,0,0,0,0,0,0,38,0,0
10-08-21,0,0,45,0,0,0,0,0,0,0,0,0,0,38,0,0
10-08-31,0,0,46,0,0,0,0,0,0,0,0,0,0,38,0,0
10-08-41,0,0,45,0,0,0,0,0,0,0,0,0,0,39,0,0
10-08-51,0,0,38,0,0,46,0,0,0,0,0,0,0,0,0,0
10-09-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-09-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-09-21,0,0,38,0,0,0,39,0,0,0,0,0,0,0,0,0
10-09-31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-11,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
10-12-21,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
10-12-31,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
10-13-01,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
10-13-11,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
10-13-31,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
10-13-41,0,0,0,0,0,39,0,0,0,0,0,0,38,0,0,0
10-13-51,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
10-14-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-14-11,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
10-14-21,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
10-14-31,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-14-41,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0
10-16-41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-17-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-18-31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-19-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-19-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-19-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-20-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-20-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-20-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-21-51,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
10-22-01,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-29-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-29-11,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
10-29-31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-30-31,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
10-31-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-31-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-32-21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
10-32-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
10-32-41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
10-32-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
10-33-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,38,0
10-33-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-34-01,0,0,46,38,0,0,0,0,0,0,0,0,0,0,0,0
10-34-31,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-35-11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-51,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
10-38-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-39-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-41-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
