date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
11-04-51,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
11-05-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-11-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-12-11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
11-12-31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-12-41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
11-12-51,0,0,0,0,0,0,40,0,0,32,0,0,0,0,0,0
11-13-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-13-31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-21-21,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-25-11,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
11-28-31,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-28-41,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-31-51,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-32-21,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
11-35-41,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-36-21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-36-31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-36-41,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-36-51,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-37-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-45-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-46-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-46-21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-47-51,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
11-48-01,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-50-51,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
11-52-01,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
11-52-51,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-53-11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-53-41,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
11-54-11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-54-21,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
11-56-21,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
12-00-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
12-02-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
12-02-31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
12-06-21,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
12-06-51,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0
12-07-11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-08-21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-08-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-08-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-09-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
12-14-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-16-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
12-17-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
12-17-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
12-17-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-18-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-18-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-18-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-18-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-18-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-19-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-19-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-19-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
12-19-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-19-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-20-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-20-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-20-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-20-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-21-11,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31
12-21-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-22-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
12-22-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
12-23-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-24-21,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
12-24-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-28-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-30-51,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
12-31-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-35-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-35-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-38-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
