date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
14-08-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-09-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-10-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-11-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-12-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-13-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-14-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-15-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-16-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-17-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-18-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-19-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-20-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-21-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-22-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-23-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-24-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-25-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-26-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-27-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-28-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-29-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-30-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-31-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-32-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-33-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-34-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-35-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-36-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-37-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-38-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-39-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-40-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-41-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-42-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-43-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-44-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-45-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-46-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-47-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-48-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-49-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-50-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-51-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-52-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-53-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
14-54-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-55-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
14-56-01,0,34,34,33,0,0,0,0,0,0,0,0,0,0,0,0
14-57-01,0,33,33,0,0,0,0,0,0,33,0,0,0,33,0,0
14-58-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
14-59-01,0,33,0,33,0,0,0,0,0,33,0,0,0,33,0,0
15-00-01,0,34,0,33,0,0,0,0,0,33,0,0,0,0,0,0
15-01-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-02-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-03-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-04-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-05-01,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0
15-06-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-07-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-08-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-09-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-10-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-11-01,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0
15-12-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-13-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-14-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-15-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-16-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-17-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-18-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-19-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-20-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-21-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-22-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-23-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-24-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
