date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-27-51,0,0,36,0,0,0,0,0,0,34,0,0,0,34,0,0
09-28-01,0,36,35,0,0,41,0,0,0,0,0,0,0,36,0,0
09-28-11,0,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0
09-28-21,0,0,0,0,0,33,0,0,0,0,0,33,0,0,0,0
09-28-31,0,0,33,0,0,40,0,0,0,33,0,0,0,38,0,0
09-28-41,0,0,0,0,0,36,0,0,0,36,0,0,0,34,0,0
09-28-51,0,0,0,33,0,0,0,0,0,0,0,0,0,33,33,0
09-29-01,0,0,36,0,0,0,0,0,0,33,0,0,0,0,0,0
09-29-11,0,0,0,0,0,0,0,33,0,0,0,0,0,0,34,0
09-29-21,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0
09-29-31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-29-41,0,0,33,0,0,35,0,0,0,0,0,0,0,0,0,0
09-29-51,0,0,35,0,0,37,0,0,0,36,0,0,0,33,0,0
09-30-01,0,0,35,0,0,35,0,0,0,33,0,0,0,33,0,0
09-30-11,0,33,37,0,0,33,0,0,0,33,0,33,0,37,0,0
09-30-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-30-41,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-30-51,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
09-31-01,0,0,33,0,0,34,0,0,0,0,0,0,0,0,0,0
09-31-11,0,0,0,0,0,33,0,0,0,35,0,0,0,0,0,0
09-31-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-31-31,0,0,0,0,0,35,0,0,0,34,0,0,0,0,0,0
09-31-41,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-31-51,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-32-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-32-21,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-32-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-33-01,0,0,33,0,0,0,0,0,0,33,0,0,0,33,0,0
09-33-11,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
09-33-21,0,33,0,0,0,33,0,0,0,34,0,0,0,0,0,0
09-33-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-34-01,0,34,0,0,0,0,0,0,0,35,0,0,0,33,0,0
09-34-11,0,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-34-21,0,34,33,0,0,37,0,0,0,35,0,0,0,34,0,0
09-34-31,0,33,38,0,0,37,0,0,0,35,0,0,0,0,0,0
09-34-41,0,33,35,0,0,42,0,0,0,40,0,0,0,40,0,0
09-34-51,0,37,37,0,0,38,0,0,0,43,0,0,0,0,0,0
09-35-01,0,0,33,0,0,41,0,0,0,46,0,0,0,35,0,0
09-35-11,0,33,42,0,0,47,0,0,0,41,0,0,0,34,0,0
09-35-21,0,0,0,0,0,33,0,0,0,0,0,35,0,0,0,0
