date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-01-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-02-51,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
10-03-21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-07-01,0,0,0,0,0,35,0,0,0,0,0,0,0,33,0,0
10-08-01,0,0,39,0,0,38,0,0,0,0,0,35,0,37,0,0
10-09-01,0,0,0,0,0,36,0,0,0,0,0,0,0,34,0,0
10-10-01,0,0,39,0,0,33,0,0,0,0,0,0,0,35,0,0
10-11-01,0,0,37,0,0,35,0,0,0,0,0,0,0,43,0,0
10-12-01,0,0,33,0,0,33,0,0,0,0,0,0,0,33,0,0
10-13-11,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-14-21,0,0,0,0,0,37,0,0,0,33,0,0,0,0,0,0
10-15-21,0,33,37,0,0,33,0,38,0,0,0,0,0,33,0,0
10-16-01,0,0,34,0,0,42,0,0,0,33,0,0,0,33,0,0
10-17-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
10-18-01,0,34,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-19-01,0,0,0,0,0,33,0,0,33,0,0,0,0,41,0,0
10-20-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-21-01,47,0,36,0,0,0,0,0,0,37,0,0,0,0,0,0
10-22-01,45,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-23-01,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-25-01,43,0,0,0,0,0,0,0,0,0,0,33,0,0,33,0
10-27-01,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-28-01,0,35,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-29-01,40,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
10-30-21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-31-11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-32-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-33-01,37,0,0,0,0,0,0,0,34,0,0,0,0,0,45,0
10-34-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-36-01,0,0,0,33,0,36,0,42,0,0,0,0,0,33,33,0
10-37-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,33,0
10-39-11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-40-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-41-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-42-01,0,0,0,0,0,0,0,33,0,46,0,0,0,0,0,0
10-43-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
10-44-31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-45-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-46-21,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
10-47-11,0,0,0,0,0,0,0,35,0,36,0,0,0,36,44,0
10-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-49-01,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-50-01,0,0,0,0,0,37,0,0,0,36,0,0,0,34,38,0
10-51-01,0,0,0,0,0,34,0,0,0,0,0,0,0,33,0,0
10-53-31,0,0,0,0,0,0,0,0,0,44,0,0,38,0,0,0
10-55-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-56-01,0,0,0,0,0,36,0,0,0,0,0,0,0,35,0,0
10-57-01,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
10-58-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-59-01,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
11-00-11,35,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
11-01-21,0,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0
11-02-11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-11,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
11-04-21,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
11-05-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-06-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
11-07-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-08-01,0,56,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-09-01,0,0,0,0,0,0,0,0,0,33,0,0,0,34,0,0
11-10-01,0,0,0,33,0,0,0,0,0,33,0,0,0,33,0,0
11-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
11-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-13-01,0,0,0,0,0,0,0,0,0,55,0,0,0,33,0,0
11-14-01,0,0,33,0,0,35,0,0,0,0,0,0,0,0,0,0
11-15-01,0,43,33,0,0,33,0,0,0,43,0,0,0,40,33,0
