date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-40-21,0,32,32,0,0,33,0,0,0,0,0,0,0,0,0,0
09-40-31,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-41-01,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-41-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-41-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-42-01,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-42-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-42-41,32,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-42-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,42,0
09-43-01,0,0,0,0,0,0,40,0,0,0,0,0,0,0,32,0
09-43-11,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0
09-43-21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-43-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-43-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0
09-43-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-44-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-44-21,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-44-31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-44-41,0,0,0,0,0,0,35,0,0,33,0,0,0,0,0,0
09-44-51,0,0,0,0,0,0,0,0,0,42,0,0,0,0,33,0
09-45-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
09-45-31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
09-45-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0
09-46-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,32,0
09-46-21,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-46-31,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
09-46-41,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-46-51,0,32,32,0,0,0,35,0,0,0,0,0,0,0,0,0
09-47-31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-47-41,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-47-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-48-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,35,0
09-48-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-48-21,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-48-31,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
09-48-41,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
09-48-51,32,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0
09-49-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,34,0
09-49-11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-49-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-49-41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-50-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-51-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-51-21,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-51-31,0,0,0,0,0,32,36,0,0,0,0,0,0,32,0,0
09-51-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-52-11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-52-21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-52-31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-52-41,0,0,0,0,0,0,36,0,0,0,0,0,0,0,41,0
09-52-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-53-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-53-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
09-53-41,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-54-01,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-54-11,0,0,0,0,0,0,0,0,0,0,0,32,0,0,36,0
09-54-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-54-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-54-41,0,0,0,0,0,0,35,0,0,0,0,0,0,0,32,0
09-54-51,0,0,0,0,0,0,35,0,0,0,0,0,0,0,37,0
09-55-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,43,0
09-55-11,0,0,0,0,0,32,43,0,0,0,0,0,0,0,38,0
09-55-21,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
09-55-31,0,0,0,0,0,0,46,0,0,0,0,0,0,32,0,0
09-55-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-55-51,0,0,33,0,0,0,32,0,0,0,0,0,0,0,0,0
09-56-01,0,0,32,0,0,0,32,0,0,0,0,0,0,0,32,0
09-56-11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
09-56-21,34,0,32,0,0,0,37,0,0,0,0,0,0,0,0,0
09-56-31,0,0,0,0,0,0,55,0,0,0,0,0,0,0,32,0
09-56-41,0,0,32,0,0,0,58,0,0,0,0,0,0,32,0,0
09-56-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0
09-57-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-57-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-57-31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-58-11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-58-21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-58-31,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-58-51,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-59-11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-59-21,0,34,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-59-31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
09-59-41,0,0,32,0,0,0,0,0,0,0,0,0,0,32,0,0
09-59-51,0,0,0,0,0,33,0,0,0,0,0,0,0,35,0,0
10-01-21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
10-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-01-51,0,35,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-02-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-02-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
10-03-21,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-03-41,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-04-41,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0,0
10-04-51,0,0,0,0,0,33,0,0,0,0,0,0,0,33,0,0
10-05-01,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0,0
10-05-11,0,0,0,0,0,0,0,0,0,32,0,0,0,32,0,0
10-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-06-11,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10-06-21,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-06-41,0,0,32,0,0,0,0,0,0,0,0,0,0,32,0,0
10-06-51,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-07-11,0,0,36,0,0,35,32,0,0,32,0,0,0,0,0,0
10-07-21,0,0,34,0,0,32,32,0,0,0,0,0,0,0,0,0
10-07-31,0,0,36,0,0,33,0,0,0,0,0,0,0,34,0,0
10-07-41,0,0,34,0,0,0,0,0,0,0,0,0,0,33,0,0
10-07-51,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-08-11,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10-08-41,0,0,0,0,0,33,38,0,0,0,0,0,0,33,0,0
10-08-51,0,0,32,0,0,0,33,0,0,0,0,0,0,0,0,0
10-09-01,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
10-09-11,0,32,0,0,0,0,0,0,0,34,0,0,0,32,0,0
10-09-21,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-41,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10-09-51,0,0,0,0,0,33,0,0,0,0,0,0,0,32,0,0
10-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-10-41,0,0,0,0,0,0,32,0,0,0,0,0,0,33,0,0
10-11-11,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0
10-11-21,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
10-11-31,0,0,0,0,0,0,32,0,0,0,0,0,0,32,0,0
10-11-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-11-51,0,35,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-12-01,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-13-31,0,0,32,0,0,0,32,0,0,0,0,0,32,0,0,0
10-13-41,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-14-01,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-14-31,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-14-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-15-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-16-11,0,33,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-16-31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-16-41,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
10-17-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-18-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-18-11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-21,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-19-31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-11,0,0,0,0,0,0,32,0,0,0,0,0,0,32,0,0
10-20-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-20-31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-20-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-20-51,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-21-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-21-51,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0
10-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-22-11,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-22-21,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-22-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-23-11,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-23-51,0,0,32,0,0,0,0,0,0,34,0,0,0,0,0,0
10-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
10-27-01,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10-27-11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-27-31,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-28-41,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-28-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
10-29-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-29-31,0,0,34,0,0,0,0,0,0,32,0,0,0,0,0,0
10-29-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-29-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-30-01,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10-30-21,0,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0
10-30-31,0,0,32,0,0,0,0,0,0,34,0,0,0,0,0,0
10-30-41,0,0,0,0,0,0,0,0,0,32,0,0,0,36,0,0
10-31-01,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-31-11,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
10-31-21,0,0,38,0,0,34,0,0,0,0,0,0,0,32,0,0
10-31-31,0,36,33,0,0,32,0,0,0,0,0,0,0,0,0,0
10-31-41,0,0,38,0,0,0,0,0,0,32,0,0,0,0,0,0
10-31-51,0,0,33,0,0,0,0,0,0,36,0,0,0,0,0,0
10-32-01,35,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
10-32-11,0,0,36,0,0,0,0,0,0,0,0,0,0,34,0,0
10-32-21,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-32-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-32-41,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-32-51,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-33-11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-33-31,0,0,33,0,0,0,0,0,0,32,0,0,0,32,32,0
10-33-41,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33-51,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-01,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
10-34-11,36,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-21,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-34-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-11,0,0,55,0,0,0,0,0,0,32,0,0,0,0,0,0
10-35-21,0,0,34,0,0,0,0,0,0,33,0,0,0,0,0,0
10-35-31,0,0,39,0,0,0,0,0,0,53,0,0,0,0,0,0
10-35-51,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
