date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-40-41,35,57,51,0,0,0,36,0,0,36,0,0,0,61,0,0
09-40-51,29,0,53,0,0,0,0,0,0,47,0,0,0,61,0,0
09-41-01,33,56,55,0,0,0,0,0,0,49,0,0,0,61,39,0
09-41-11,0,55,53,0,0,0,0,0,0,44,0,0,0,57,31,0
09-41-21,0,54,50,0,0,0,35,0,0,46,0,0,0,58,0,0
09-41-31,0,54,50,0,0,0,0,0,0,49,0,0,0,59,0,0
09-41-41,0,55,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-41-51,40,59,50,0,0,0,0,0,0,48,0,0,0,59,35,0
09-42-01,0,59,49,0,0,0,0,0,0,43,0,0,0,0,33,0
09-42-11,0,59,50,0,0,0,0,0,0,39,0,0,0,58,32,0
09-42-21,0,59,50,0,0,0,36,0,0,32,0,0,0,58,0,0
09-42-31,0,58,50,0,0,0,37,0,0,32,0,0,0,58,0,0
09-42-41,0,59,49,0,0,0,0,0,0,41,0,0,0,58,0,0
09-42-51,0,59,50,0,0,0,0,0,0,36,0,0,0,58,0,0
09-43-01,0,59,50,0,0,0,0,0,0,34,0,0,0,58,0,0
09-43-11,0,57,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-43-21,0,58,49,0,0,0,0,0,0,0,0,0,0,59,0,0
09-43-31,0,58,50,0,0,0,37,0,0,41,0,0,0,58,0,0
09-43-41,0,58,50,0,0,0,35,0,0,30,0,0,0,58,0,0
09-43-51,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-44-01,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-44-11,0,57,50,0,0,0,38,0,0,0,0,0,0,58,0,0
09-44-21,0,58,50,0,0,0,33,0,0,0,0,0,0,58,0,0
09-44-31,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-44-41,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-44-51,0,58,50,0,0,0,33,0,0,30,0,0,0,57,0,0
09-45-01,0,57,50,0,0,0,35,0,0,0,0,0,0,57,32,0
09-45-11,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-45-21,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-45-31,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-45-41,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-45-51,0,57,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-46-01,0,59,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-46-11,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-46-21,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-46-31,0,59,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-46-41,0,59,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-46-51,0,58,49,0,0,0,0,0,0,0,0,0,0,58,29,0
09-47-01,0,57,49,0,0,0,33,0,0,0,0,0,0,58,0,0
09-47-11,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
