date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Erin,Taj,Silas,Beatrice,Willa
14-58-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-58-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-58-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-58-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-58-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-58-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-59-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-59-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-59-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-59-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-59-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-59-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-00-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-00-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-00-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-00-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-00-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-00-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-01-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-01-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-01-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-01-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-01-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-01-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-02-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-02-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-02-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-02-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-02-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-02-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-03-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-03-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-03-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-03-31,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
15-03-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-03-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-04-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-04-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-04-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-04-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-04-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-04-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-05-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-05-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-05-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-05-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-05-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-05-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-06-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-06-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-06-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-06-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-06-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-06-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-07-01,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
15-07-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-07-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-07-31,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
15-07-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-07-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-08-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-08-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-08-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-08-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-08-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-08-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-09-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-09-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-09-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
