date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
10-48-01,39,0,0,0,0,0,31,0,0,32,0,0,0,0,0,0
10-49-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
10-50-01,42,0,0,0,0,0,33,0,0,34,0,0,0,0,0,0
10-51-01,0,0,0,0,0,37,31,0,0,32,0,0,0,0,0,0
10-52-01,42,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-53-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-54-01,42,0,0,0,0,31,0,0,0,0,0,0,0,0,33,0
10-55-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-01,43,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-57-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-01,42,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-59-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-00-01,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
11-01-01,42,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-02-01,43,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
11-03-01,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
11-04-01,40,0,0,0,0,0,0,0,0,43,0,0,0,0,31,0
11-05-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,31,0
11-06-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-07-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-08-01,42,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-09-01,0,0,0,0,0,0,32,0,0,39,0,0,0,0,0,0
11-10-01,0,0,0,0,0,0,33,0,0,36,0,0,0,0,0,0
11-11-01,42,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-12-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
11-13-01,44,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-14-01,43,36,32,0,0,0,0,0,0,35,0,0,0,0,0,0
11-15-01,0,0,37,31,0,32,40,0,0,31,0,0,0,0,36,0
11-16-01,0,33,0,0,0,0,49,0,0,0,0,0,0,0,0,0
11-17-01,0,42,0,0,0,0,32,0,0,32,0,0,0,0,34,0
11-18-01,0,38,0,0,0,0,0,0,0,31,0,0,0,0,0,0
11-19-01,43,36,0,0,0,0,45,0,0,34,0,0,0,0,0,0
11-20-01,43,31,35,31,0,0,39,0,0,31,0,0,0,0,34,0
11-21-01,41,0,0,0,0,0,33,0,0,31,0,0,0,0,33,0
11-22-01,0,33,0,0,0,0,33,0,0,33,0,0,0,0,31,0
11-23-01,0,35,0,0,0,0,33,0,0,0,0,0,0,0,37,0
11-24-11,42,0,0,0,0,0,34,0,0,31,0,0,0,0,0,0
11-25-01,39,0,0,0,0,0,31,0,0,0,0,0,0,0,32,0
11-26-01,0,0,0,0,0,0,40,0,0,31,0,0,0,0,0,0
11-27-01,0,35,0,0,0,0,33,0,0,0,0,0,0,0,32,0
11-28-01,0,0,0,0,0,0,35,0,0,33,0,0,0,0,32,0
11-29-01,43,0,0,0,0,0,33,0,0,31,0,0,0,0,37,0
11-30-01,44,0,0,0,0,0,39,0,0,34,0,0,0,0,0,0
