date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
11-46-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-47-01,0,0,0,0,0,0,46,0,0,0,0,0,0,32,0,0
11-48-01,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0
11-49-01,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
11-50-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-51-01,0,0,0,0,0,40,36,0,0,0,0,0,0,0,0,0
11-52-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-53-11,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-54-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
11-55-01,0,0,0,0,0,0,40,0,0,48,0,0,0,0,0,0
11-56-01,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
11-57-01,0,0,0,0,0,0,37,0,0,47,0,0,0,0,0,0
11-58-01,0,0,0,0,0,0,35,0,0,33,0,0,0,0,0,0
11-59-01,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
12-00-01,0,0,0,0,0,37,52,0,0,0,0,0,0,0,0,0
12-01-01,0,0,0,0,0,40,33,0,0,0,0,0,0,0,0,0
12-02-01,0,0,42,0,0,0,0,0,0,43,0,0,0,0,0,0
12-03-01,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
12-04-01,0,0,0,0,0,0,41,0,0,55,0,0,0,0,0,0
12-05-01,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
12-06-01,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
12-07-11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
12-08-01,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
12-09-01,0,0,0,0,0,0,42,0,0,57,0,0,0,0,0,0
12-10-01,0,0,0,0,0,0,45,0,0,53,0,0,0,0,0,0
12-11-01,0,0,0,0,0,0,48,0,0,35,0,0,0,0,0,0
12-12-01,0,0,0,0,0,0,42,0,0,45,0,0,0,0,0,0
12-13-01,0,0,0,0,0,0,38,0,0,34,0,0,0,0,0,0
12-14-01,0,0,0,0,0,0,46,0,0,36,0,0,0,0,0,0
12-15-01,0,0,32,0,0,0,44,0,0,34,0,0,0,0,0,0
12-16-01,0,0,0,0,0,0,45,0,0,33,0,0,0,0,0,0
12-17-01,0,0,0,0,0,0,45,0,0,46,0,0,0,0,0,0
12-18-01,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
12-19-01,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
12-20-01,0,0,0,0,0,0,49,0,0,35,0,0,0,0,0,0
12-21-01,0,0,0,0,0,0,51,0,0,49,0,0,0,0,0,0
12-22-11,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
12-23-21,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
12-24-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
12-25-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
12-26-01,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
12-27-01,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
12-28-21,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
12-29-01,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
12-30-01,33,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
12-31-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
12-32-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
12-33-31,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
12-34-01,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
12-35-01,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
12-36-01,0,0,0,0,0,0,0,0,0,32,0,0,0,35,0,0
12-37-01,0,33,0,0,0,0,41,0,0,0,0,0,0,37,0,0
12-38-01,0,0,39,38,0,0,0,0,0,0,0,0,0,42,0,0
12-39-01,32,0,34,33,0,0,0,0,0,0,0,0,0,41,0,0
12-40-01,0,0,35,0,0,34,0,0,33,41,0,0,0,49,0,0
12-41-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
12-42-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-43-01,0,0,40,49,0,32,37,0,0,0,0,0,0,0,0,0
12-44-01,0,0,43,55,0,0,45,0,0,0,0,0,0,0,0,0
12-45-01,0,0,35,45,0,43,49,0,0,0,0,0,0,0,0,0
12-46-01,0,0,0,42,0,0,42,0,0,0,0,0,0,0,0,0
12-47-01,0,0,34,48,0,0,48,0,0,32,0,0,0,0,0,0
12-48-01,0,34,34,50,0,0,38,0,0,34,0,0,0,0,0,0
12-49-01,0,0,37,50,0,0,45,0,0,0,0,0,0,0,0,0
12-50-01,0,0,0,35,0,0,52,0,0,0,0,35,0,33,0,0
12-51-01,0,0,0,40,0,0,49,0,0,40,0,0,0,0,0,0
12-52-01,0,0,35,35,0,0,40,0,0,0,0,0,0,0,0,0
12-53-01,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
12-54-01,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
12-55-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
12-56-01,0,32,32,33,0,0,0,0,0,0,0,0,0,0,0,0
12-57-01,0,0,36,35,0,0,0,0,0,0,0,0,0,0,0,0
12-58-01,0,0,39,35,0,0,0,0,0,0,0,0,0,0,0,0
12-59-01,0,0,38,37,0,0,0,0,0,0,0,0,0,0,0,0
13-00-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
13-01-01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
13-02-01,0,0,0,0,0,37,0,0,0,61,0,0,0,47,0,0
13-03-01,43,39,0,0,0,39,0,0,0,64,0,0,0,46,0,0
13-04-01,0,0,0,0,0,35,0,0,0,64,0,0,0,49,0,0
13-05-01,42,0,0,0,0,0,0,0,0,62,0,0,0,50,0,0
13-06-01,42,0,0,0,0,0,0,0,0,64,0,0,0,53,0,0
13-07-01,43,0,0,0,0,0,0,0,0,62,0,0,0,47,0,0
13-08-01,0,0,0,0,0,0,0,0,0,64,0,0,0,48,0,0
13-09-01,42,34,0,0,0,0,0,0,0,64,0,0,0,46,0,0
13-10-01,0,41,33,0,0,0,38,0,0,63,0,0,0,52,0,0
13-11-01,0,40,42,0,0,0,0,0,0,64,0,0,0,52,0,0
13-12-01,42,45,0,0,0,0,0,0,0,62,0,0,0,50,0,0
13-13-01,0,45,0,0,0,0,0,0,0,62,0,0,0,50,0,0
13-14-01,0,43,36,0,0,0,0,0,0,63,0,0,0,51,0,0
13-15-01,0,43,0,0,0,0,0,0,0,64,0,0,0,51,0,0
13-16-01,0,41,0,0,0,0,34,0,0,62,0,0,0,51,0,0
13-17-01,0,43,0,0,0,0,0,0,0,64,0,0,0,52,0,0
13-18-01,40,43,0,0,0,0,0,0,0,63,0,0,0,52,0,0
13-19-01,38,46,35,0,0,0,0,0,0,64,0,0,0,51,0,0
13-20-01,0,43,34,37,0,0,0,0,0,61,0,0,0,51,0,0
13-21-01,44,0,34,0,0,0,37,0,0,63,0,0,0,51,0,0
13-22-01,0,43,32,0,0,0,40,0,0,63,0,0,0,51,0,0
13-23-01,40,45,43,0,0,36,0,0,0,63,0,0,0,50,0,0
13-24-01,0,43,35,0,0,0,0,0,0,64,0,0,0,49,0,0
13-25-01,0,44,42,0,0,0,0,0,39,63,0,0,0,51,0,0
13-26-01,0,44,39,0,0,0,0,0,49,63,0,0,0,49,0,0
13-27-01,0,44,42,0,0,0,32,0,45,63,0,0,0,51,0,0
13-28-01,0,42,44,0,0,0,34,0,40,62,0,0,0,50,0,0
13-29-01,0,44,42,0,0,0,0,0,40,63,0,0,0,51,0,0
13-30-01,0,43,45,0,0,0,0,0,41,62,0,0,0,49,0,0
13-31-01,0,42,40,0,0,0,32,0,44,62,0,0,0,51,0,0
13-32-01,0,44,42,0,0,0,34,0,39,63,0,0,0,48,0,0
13-33-01,0,44,36,0,0,0,32,0,39,64,0,0,0,51,0,0
13-34-01,0,43,37,0,0,0,0,0,42,63,0,0,0,50,0,0
13-35-01,0,42,42,0,0,34,0,0,44,61,0,0,0,50,0,0
13-36-01,0,45,48,0,0,0,0,0,46,61,0,0,0,51,0,0
13-37-01,40,43,45,0,0,0,33,0,41,63,0,0,0,51,0,0
13-38-01,0,43,41,0,0,0,0,0,47,63,0,0,0,48,0,0
13-39-01,0,43,41,0,0,0,0,0,0,63,0,0,0,51,0,0
13-40-01,0,42,39,0,0,0,0,0,0,63,0,0,0,52,0,0
13-41-01,0,45,40,0,0,0,40,0,0,63,0,0,0,52,0,0
