date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
12-50-21,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-51-01,0,0,34,0,0,0,0,0,0,30,0,0,0,33,32,0
12-52-01,0,33,33,0,0,0,30,0,0,0,0,0,0,0,0,0
12-53-11,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
12-54-31,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
12-55-01,0,0,0,0,0,0,0,0,0,38,0,0,0,34,0,0
12-56-01,0,43,0,0,0,0,0,0,0,36,0,0,0,33,0,0
12-57-01,0,45,0,0,0,0,0,0,0,35,0,0,0,33,0,0
12-58-01,0,37,0,0,0,0,0,0,0,35,0,0,0,34,0,0
12-59-01,0,32,0,0,0,0,0,0,0,35,0,0,0,35,0,0
13-00-01,0,40,0,0,0,0,0,0,0,33,0,0,0,33,0,0
13-01-01,0,43,0,0,0,0,0,0,0,32,0,0,0,30,0,0
13-02-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,34,0
13-03-01,0,49,0,0,0,0,0,0,30,33,0,0,0,31,40,0
13-04-01,0,0,0,0,0,0,0,0,35,32,0,0,0,0,0,0
13-05-01,0,0,0,0,0,0,35,0,0,32,0,0,0,0,0,0
13-06-01,0,0,0,0,0,0,0,0,0,33,0,0,0,30,0,0
13-07-01,0,0,0,0,0,0,0,0,30,38,0,0,0,0,0,0
13-08-01,0,0,0,0,0,0,0,0,32,33,0,0,0,30,0,0
13-09-01,0,0,0,0,0,0,31,0,32,0,0,0,0,0,0,0
13-10-01,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
13-11-01,0,31,43,38,0,0,35,0,0,0,0,0,0,33,0,0
13-12-31,0,30,0,0,0,0,0,0,0,32,0,0,0,34,0,0
13-13-01,0,30,0,0,0,0,0,0,0,31,0,0,0,37,30,0
13-14-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
13-15-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
13-16-21,38,0,33,0,0,0,30,0,0,0,0,0,0,0,0,0
13-17-11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-18-21,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-19-01,31,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
13-20-01,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
13-22-21,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
13-23-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,34,0
13-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
13-26-11,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
13-27-01,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
13-28-41,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-29-21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-30-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-31-41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
