date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
13-06-05,0,0,0,0,0,0,39,0,0,0,0
13-07-05,0,0,0,30,0,0,38,33,0,0,0
13-08-05,0,0,0,29,0,0,39,0,0,0,0
13-09-15,0,0,0,0,0,0,32,0,0,0,0
13-10-05,0,30,0,0,0,0,30,0,0,0,0
13-11-05,0,35,0,0,0,0,0,0,0,0,0
13-12-05,0,34,0,0,0,0,58,0,0,0,0
13-13-05,0,0,0,31,0,0,31,0,0,0,0
13-14-15,0,0,0,30,0,0,30,0,0,0,0
13-15-05,0,0,0,40,0,0,32,0,0,0,0
13-16-05,0,0,0,38,0,0,32,0,0,0,0
13-17-05,0,0,0,32,0,0,35,0,0,0,0
13-18-05,0,0,0,0,0,0,33,0,0,0,0
13-19-05,0,0,0,0,0,0,33,0,0,0,0
13-20-15,0,0,0,0,0,0,38,0,0,0,0
13-21-05,0,0,0,0,0,0,31,0,0,0,0
13-22-05,0,0,0,0,0,0,33,35,0,0,0
13-23-05,0,29,0,0,0,0,32,0,0,0,0
13-24-35,0,0,0,0,0,0,30,0,0,0,0
13-25-05,0,0,0,0,0,0,29,0,0,0,0
13-27-35,0,0,0,30,0,0,0,0,0,0,0
13-28-15,0,0,0,0,0,0,30,0,0,0,0
13-29-25,0,32,0,0,0,31,32,32,0,0,0
13-30-15,0,31,0,0,32,30,32,0,0,0,0
13-31-05,0,30,0,0,0,0,0,0,0,0,0
13-32-05,0,37,0,0,36,34,32,0,0,0,0
13-33-05,0,31,0,0,36,31,0,0,0,0,0
13-34-05,0,29,0,0,31,30,0,0,0,0,0
13-35-05,0,32,0,0,37,31,0,0,0,0,0
13-36-05,0,39,0,0,33,34,0,36,0,0,0
13-37-05,0,35,0,0,0,31,0,0,0,0,0
13-38-05,0,30,0,0,0,0,0,0,0,0,0
13-39-05,0,34,0,0,0,0,35,33,0,0,0
13-40-15,0,0,0,35,0,0,0,0,0,0,31
13-41-05,0,0,0,29,0,0,0,0,0,0,0
13-42-05,0,0,0,29,0,0,0,0,0,0,0
13-43-15,0,0,0,31,0,0,0,0,0,0,30
13-44-45,0,0,0,0,0,0,29,0,0,0,30
13-45-15,0,0,0,0,0,0,34,0,0,0,0
13-46-25,0,0,0,0,0,0,30,0,0,0,0
