date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
11-18-00,0,0,30,0,0,0,0,0,0,0,31,0,0,0,37,0
11-19-00,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
11-20-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
11-21-00,0,0,37,0,0,0,0,0,0,0,30,0,0,0,0,0
11-22-00,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
11-23-00,0,0,39,0,0,0,0,0,0,0,33,0,0,34,35,0
11-24-00,0,0,36,0,0,0,0,0,0,0,0,0,0,31,0,0
11-25-00,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
11-26-00,0,0,32,0,0,0,0,0,0,0,0,0,0,0,31,0
11-27-00,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,0
11-28-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-29-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-30-00,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
11-31-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-32-00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-33-00,0,0,0,0,0,0,0,35,0,0,33,0,0,31,0,0
11-34-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-35-00,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0
11-36-00,0,0,38,32,0,0,0,0,0,0,0,0,0,0,0,0
11-37-00,0,0,0,0,0,0,0,0,0,0,36,0,0,33,34,0
11-38-00,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-39-00,0,0,34,0,0,0,0,0,0,0,31,0,0,0,32,0
11-40-00,0,0,0,0,0,0,0,30,0,0,32,0,0,0,30,0
11-41-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-42-00,0,0,32,0,0,0,0,0,0,0,32,0,0,31,31,0
11-43-00,0,0,42,30,0,0,0,0,0,0,0,0,0,0,48,0
11-44-00,0,0,46,30,0,0,0,0,0,0,0,0,0,0,49,0
11-45-00,0,0,48,30,0,0,0,0,0,0,0,0,0,0,49,0
11-46-00,0,0,46,0,0,0,0,0,0,0,0,0,0,0,50,0
11-47-00,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
11-48-00,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
11-49-00,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
11-50-00,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
11-51-00,0,0,35,33,0,0,0,0,0,0,0,0,0,0,0,0
11-52-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0
11-53-00,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-54-00,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
11-55-00,0,0,36,0,0,0,0,0,0,0,0,0,0,30,33,0
11-56-00,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
11-57-00,0,0,38,35,0,0,0,0,0,0,0,0,0,0,0,0
11-58-00,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
11-59-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-00-00,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
12-01-00,0,0,42,35,0,0,0,0,0,0,0,0,0,33,0,0
12-02-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-03-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
12-04-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-05-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-06-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-07-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
12-08-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
12-09-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-10-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
12-11-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-12-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
12-13-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
12-14-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
12-15-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-16-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-17-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-18-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
12-19-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
12-20-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-21-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-22-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-23-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
12-24-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
12-25-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-26-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-27-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-28-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-29-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
12-30-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-31-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
12-32-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-33-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-34-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-35-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
12-36-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-37-00,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-38-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,30,0
12-39-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,35,0
12-40-00,0,0,31,0,0,0,0,31,0,0,0,0,0,33,31,0
12-41-00,31,0,54,31,0,0,0,0,0,0,30,0,0,47,47,0
12-42-00,31,0,54,31,0,0,0,34,0,0,32,0,29,48,48,0
12-43-00,30,0,55,32,0,0,0,32,0,0,33,0,30,48,49,0
12-44-00,0,0,54,32,0,0,0,34,0,0,32,0,29,47,47,0
12-45-00,0,0,55,31,0,0,0,33,0,0,34,0,29,47,47,0
12-46-00,0,0,54,32,0,0,0,33,0,0,29,0,29,46,48,0
12-47-00,0,0,54,32,0,0,0,32,0,0,31,0,30,46,48,0
12-48-00,0,0,54,32,0,0,0,32,0,0,31,0,29,47,48,0
12-49-00,33,0,55,31,0,0,0,33,0,0,0,0,30,47,47,0
12-50-00,31,0,51,34,0,0,0,33,0,0,0,0,30,44,46,0
12-51-00,0,0,53,31,0,0,0,32,0,0,34,0,29,46,48,0
12-52-00,0,0,53,31,0,0,0,32,0,0,34,0,29,46,47,0
12-53-00,0,0,54,31,0,0,0,33,0,0,33,0,29,47,48,0
12-54-00,0,0,54,31,0,0,0,32,0,0,33,0,30,47,48,0
12-55-00,0,0,54,31,0,0,0,33,0,0,33,0,29,47,47,0
12-56-00,0,0,53,31,0,0,0,33,0,0,33,0,29,46,48,0
12-57-00,0,0,54,31,0,0,0,32,0,0,34,0,29,47,48,0
