date,Alice,Bob,Chris,Dave,Eliza,Fred,George,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
11-40-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-41-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-42-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-45-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-46-00,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
11-47-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-48-00,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-49-00,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
11-50-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-51-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-52-00,0,0,0,0,0,35,0,0,0,0,0,0,0,34,0,0
11-53-00,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
11-54-00,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
11-55-00,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
11-56-00,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
11-57-00,0,0,0,33,0,34,0,0,0,0,0,0,0,0,33,0
11-58-00,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-59-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-00-00,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
12-01-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
12-02-00,0,0,0,0,0,41,0,0,0,0,0,0,0,37,0,0
12-03-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-04-00,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
12-08-00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-12-00,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
12-33-00,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
12-34-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-35-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-36-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-38-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-40-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
12-41-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
12-42-00,0,0,43,36,0,36,0,0,0,0,0,0,33,36,38,0
12-43-00,0,0,39,36,0,36,0,0,0,0,0,0,35,0,53,0
12-44-00,0,0,38,36,0,37,0,0,0,0,0,0,34,0,51,0
12-45-00,0,0,38,35,0,37,0,0,0,0,0,0,34,0,52,0
12-46-00,0,0,38,36,0,36,0,0,0,0,0,0,34,0,52,0
12-47-00,0,0,38,36,0,36,0,0,0,0,0,0,34,0,51,0
12-48-00,0,0,38,35,0,36,0,0,0,0,0,0,34,0,52,0
12-49-00,0,0,37,36,0,36,0,0,0,0,0,0,34,0,52,0
12-50-00,0,0,37,37,0,37,0,0,0,0,0,0,34,0,52,0
12-51-00,0,0,40,36,0,36,0,0,0,0,0,0,35,0,52,0
12-52-00,0,0,39,36,0,36,0,0,0,0,0,0,35,0,52,0
12-53-00,0,0,40,36,0,36,0,0,0,0,0,0,35,0,52,0
12-54-00,0,0,39,36,0,36,0,0,0,0,0,0,35,0,52,0
12-55-00,0,0,40,35,0,36,0,0,0,0,0,0,35,0,52,0
12-56-00,0,0,39,35,0,36,0,0,0,0,0,0,34,0,53,0
12-57-00,0,0,39,35,0,36,0,0,0,0,0,0,35,0,52,0
