date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
13-39-55,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-40-05,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
13-41-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
13-42-35,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
13-43-15,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
13-44-35,0,0,31,0,0,32,0,0,0,0,0,0,0,0,0,0
13-45-45,0,0,0,0,0,0,0,0,0,0,0,0,0,32,37,0
13-46-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
13-47-05,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0
13-48-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
13-59-45,0,0,33,0,0,0,0,0,0,0,0,0,0,34,34,0
14-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
14-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
14-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
14-06-45,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
14-11-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
14-14-05,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
14-26-05,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
14-41-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
14-42-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
14-43-15,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
14-44-15,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
14-54-55,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
14-56-55,0,0,32,0,0,31,0,0,0,0,0,0,0,0,0,0
14-57-05,0,0,32,0,0,32,0,0,0,0,0,0,0,32,32,0
14-58-05,0,0,39,45,0,41,0,34,0,0,0,0,0,35,46,0
14-59-05,0,0,39,45,0,41,0,34,0,0,0,0,0,36,45,0
15-00-05,0,0,38,45,0,41,0,34,0,0,0,0,0,36,46,0
15-01-05,0,0,39,45,0,41,0,33,0,0,0,0,0,35,46,0
15-02-05,0,0,38,45,0,41,0,33,0,0,0,0,0,35,45,0
15-03-05,0,0,38,45,0,41,0,34,0,0,0,0,0,36,45,0
15-04-05,0,0,38,45,0,41,0,34,0,0,0,0,0,35,46,0
15-05-05,0,0,38,45,0,41,0,34,0,0,0,0,0,36,45,0
15-06-05,0,0,39,45,0,41,0,34,0,0,0,0,0,35,45,0
15-07-05,0,0,38,45,0,41,0,34,0,0,0,0,0,35,46,0
15-08-05,0,0,38,45,0,41,0,33,0,0,0,0,0,37,45,0
15-09-05,0,0,39,45,0,42,0,34,0,0,0,0,0,35,45,0
15-10-05,0,0,35,45,0,41,0,33,0,0,0,0,0,36,46,0
15-11-05,0,0,35,45,0,41,0,33,0,0,0,0,0,35,46,0
15-12-05,0,0,35,45,0,40,0,33,0,0,0,0,0,36,46,0
15-13-05,0,0,35,45,0,41,0,34,0,0,0,0,0,35,46,0
15-14-05,0,0,36,45,0,41,0,33,0,0,0,0,0,35,45,0
15-15-05,0,0,35,45,0,41,0,33,0,0,0,0,0,36,45,0
15-16-05,0,0,35,45,0,41,0,33,0,0,0,0,0,35,45,0
15-17-05,0,0,35,45,0,41,0,33,0,0,0,0,0,35,45,0
15-18-05,0,0,35,45,0,41,0,33,0,0,0,0,0,35,45,0
15-19-05,0,0,35,45,0,41,0,33,0,0,0,0,0,35,45,0
15-20-05,0,0,35,45,0,42,0,33,0,0,0,0,0,35,45,0
15-21-05,0,0,35,45,0,42,0,33,0,0,0,0,0,35,45,0
15-22-05,0,0,35,45,0,41,0,33,0,0,0,0,0,35,45,0
15-23-05,0,0,35,45,0,41,0,33,0,0,0,0,0,34,46,0
