date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-14-25,0,32,0,0,0,0,0,0,34,0,0
09-14-35,0,32,0,0,0,0,0,0,35,0,0
09-14-45,0,32,0,0,0,0,0,0,34,0,0
09-14-55,0,32,0,0,0,0,0,0,34,0,0
09-15-05,0,32,0,0,0,0,0,0,34,0,0
09-15-15,0,32,0,0,0,0,0,0,34,0,0
09-15-25,0,32,0,0,0,0,0,0,34,0,0
09-15-35,0,32,0,0,0,0,0,0,35,0,0
09-15-45,0,32,0,0,0,0,0,0,34,0,0
09-15-55,0,32,0,0,0,0,0,0,34,0,0
09-16-05,0,0,0,0,0,0,0,0,34,0,0
09-16-15,0,32,0,0,0,0,0,0,34,0,0
09-16-25,0,32,0,0,0,0,0,0,34,0,0
09-16-35,0,32,0,0,0,0,0,0,34,0,0
09-16-45,0,32,0,0,0,0,0,0,34,0,0
09-16-55,0,32,0,0,0,0,0,0,34,0,0
09-17-05,0,32,0,0,0,0,0,0,34,0,0
09-17-15,0,32,0,0,0,0,0,0,34,0,0
09-17-25,0,32,0,0,0,0,0,0,34,0,0
09-17-35,0,32,0,0,0,0,0,0,34,0,0
09-17-45,0,32,0,0,0,0,0,0,34,0,0
09-17-55,0,32,0,0,0,0,0,0,34,0,0
09-18-05,0,32,0,0,0,0,0,0,34,0,0
09-18-15,0,32,0,0,0,0,0,0,34,0,0
09-18-25,0,32,0,0,0,0,0,0,34,0,0
09-18-35,0,0,0,0,0,0,0,0,34,0,0
09-18-45,0,0,0,0,0,0,0,0,35,0,0
09-18-55,0,32,0,0,0,0,0,0,35,0,0
09-19-05,0,32,0,0,0,0,0,0,34,0,0
09-19-15,0,32,0,0,0,0,0,0,34,0,0
09-19-25,0,0,0,0,0,0,0,0,34,0,0
09-19-35,0,32,0,0,0,0,0,0,34,0,0
09-19-45,0,32,0,0,0,0,0,0,35,0,0
09-19-55,0,32,0,0,0,0,0,0,34,0,0
09-20-05,0,32,0,0,0,0,0,0,34,0,0
09-20-15,0,32,0,0,0,0,0,0,35,32,0
09-20-25,0,32,0,0,0,0,0,0,34,0,0
09-20-35,0,32,0,0,0,0,0,0,34,0,0
09-20-45,0,32,0,0,0,0,0,0,34,0,0
09-20-55,0,32,0,0,0,0,0,0,35,0,0
09-21-05,0,32,0,0,0,0,0,0,34,0,0
09-21-15,0,32,0,0,0,0,0,0,34,0,0
09-21-25,0,32,0,0,0,0,0,0,34,0,0
09-21-35,0,32,0,0,0,0,0,0,34,0,0
09-21-45,0,32,0,0,0,0,0,0,34,0,0
09-21-55,0,32,0,0,0,0,0,0,34,0,0
09-22-05,0,32,0,0,0,0,0,0,34,0,0
09-22-15,0,32,0,0,0,0,0,0,34,0,0
09-22-25,0,32,0,0,0,0,0,0,34,0,0
09-22-35,0,32,0,0,0,0,0,0,34,0,0
09-22-45,0,32,0,0,0,0,0,0,34,0,0
09-22-55,0,32,0,0,0,0,0,0,34,0,0
09-23-05,0,32,0,0,0,0,0,0,34,0,0
09-23-15,0,32,0,0,0,0,0,0,35,0,0
09-23-25,0,32,0,0,0,0,0,0,35,0,0
09-23-35,0,32,0,0,0,0,0,0,35,0,0
09-23-45,0,32,0,0,0,0,0,0,36,0,0
09-23-55,0,32,0,0,0,0,0,0,36,0,0
09-24-05,0,32,0,0,0,0,0,0,35,0,0
09-24-15,0,32,0,0,0,0,0,0,36,0,0
09-24-25,0,32,0,0,0,0,0,0,36,0,0
09-24-35,0,32,0,0,0,0,0,0,36,0,0
09-24-45,0,32,0,0,0,0,0,0,36,0,0
09-24-55,0,32,0,0,0,0,0,0,35,0,0
09-25-05,0,0,0,0,32,0,0,0,36,0,0
09-25-15,0,32,0,0,0,0,0,0,36,0,0
09-25-25,0,32,0,0,0,0,0,0,36,0,0
09-25-35,0,32,0,0,0,0,0,0,35,0,0
09-25-45,0,0,0,0,0,0,0,0,35,0,0
09-25-55,0,32,0,0,0,0,0,0,35,0,0
09-26-05,0,32,0,0,0,0,0,0,35,0,0
09-26-15,0,32,0,0,0,0,0,0,35,0,0
09-26-25,0,32,0,0,0,0,0,0,35,0,0
09-26-35,0,32,0,0,0,0,0,0,34,0,0
09-26-45,0,32,0,0,0,0,0,0,33,0,0
09-26-55,0,32,0,0,0,0,0,0,33,0,0
09-27-05,0,32,0,0,0,0,0,0,34,0,0
09-27-15,0,32,0,0,0,0,0,0,34,0,0
09-27-25,0,32,0,0,0,0,0,0,34,0,0
09-27-35,0,32,0,0,0,0,0,0,34,0,0
09-27-45,0,32,0,0,0,0,0,0,35,0,0
09-27-55,0,32,0,0,0,0,0,0,36,0,0
09-28-05,0,32,0,0,0,0,0,0,0,0,0
09-28-15,0,32,0,0,0,0,0,0,0,0,0
09-28-25,0,32,0,0,0,0,0,0,0,0,0
09-28-35,0,32,0,0,0,0,0,0,0,0,0
09-28-45,0,32,0,0,0,0,0,0,0,0,0
09-28-55,0,32,0,0,0,0,0,0,0,0,0
09-29-05,0,32,0,0,0,0,0,0,0,0,0
09-29-15,0,32,0,0,0,0,0,0,0,0,0
09-29-25,0,32,0,0,0,0,0,0,0,0,0
09-29-45,0,32,0,0,0,0,0,0,0,0,0
09-29-55,0,32,0,0,0,0,0,0,0,0,0
09-30-05,0,32,0,0,0,0,0,0,0,0,0
09-30-15,0,32,0,0,0,0,0,0,0,0,0
09-30-25,0,32,0,0,0,32,0,0,0,0,0
09-30-35,0,32,0,0,0,0,0,0,0,0,0
09-30-45,0,32,0,0,0,0,0,0,0,0,0
09-30-55,0,32,0,0,0,0,0,0,0,0,0
09-31-05,0,32,0,0,0,0,0,0,0,0,0
09-31-15,0,32,0,0,0,0,0,0,0,0,0
09-33-15,0,32,0,0,0,0,0,0,0,0,0
09-35-05,0,0,0,0,0,0,0,0,33,0,0
09-35-15,0,0,0,0,0,0,0,0,34,0,0
09-35-25,0,32,0,0,0,0,0,0,0,0,0
09-37-45,0,32,0,0,0,0,0,0,0,0,0
09-37-55,0,32,0,0,0,0,0,0,0,0,0
09-38-15,0,32,0,0,0,0,0,0,0,0,0
09-38-25,0,32,0,0,0,0,0,0,0,0,0
09-38-35,0,32,0,0,0,0,0,0,0,0,0
09-38-45,0,32,0,0,0,0,0,0,0,0,0
09-38-55,0,32,0,0,0,0,0,0,0,0,0
09-39-05,0,32,0,0,0,0,0,0,0,0,0
09-39-15,0,32,0,0,0,0,0,0,0,0,0
09-39-35,0,32,0,0,0,0,0,0,0,0,0
09-39-45,0,32,0,0,0,0,0,0,0,0,0
09-39-55,0,32,0,0,0,0,0,0,0,0,0
09-40-05,0,32,0,0,0,0,0,0,0,0,0
09-40-15,0,33,0,0,0,0,0,0,0,0,0
09-40-25,0,33,0,0,0,0,0,0,0,0,0
09-40-35,0,33,0,0,0,0,0,0,0,0,0
09-40-45,0,32,0,0,0,0,0,0,0,0,0
09-40-55,0,32,0,0,0,0,0,0,0,0,0
09-41-05,0,32,0,0,0,0,0,0,0,0,0
09-41-15,0,32,0,0,0,0,0,0,0,0,0
09-41-25,0,33,0,0,0,0,0,0,0,0,0
09-41-35,0,33,0,0,0,0,0,0,0,0,0
09-41-45,0,33,0,0,0,0,0,0,0,0,0
09-41-55,0,33,0,0,0,0,0,0,0,0,0
09-42-05,0,33,0,0,0,0,0,0,0,0,0
09-44-25,0,0,0,0,0,0,0,0,0,0,0
13-15-05,0,33,0,0,0,0,0,0,0,0,0
13-17-35,0,32,0,0,0,0,0,0,0,0,0
13-18-35,0,32,0,0,0,0,0,0,0,0,0
13-18-55,0,32,0,0,0,0,0,0,0,0,0
13-19-45,0,32,0,0,0,0,0,0,0,0,0
13-20-15,0,33,0,0,0,0,0,0,0,0,0
13-20-25,0,32,0,0,0,0,0,0,0,0,0
13-20-45,0,32,0,0,0,0,0,0,0,0,0
14-39-35,0,32,0,0,0,0,0,0,0,0,0
15-02-15,0,0,0,0,0,0,0,0,32,0,0
15-04-15,0,32,0,0,0,0,0,0,0,0,0
15-04-25,0,32,0,0,0,0,0,0,0,0,0
15-04-55,0,32,0,0,0,0,0,0,0,0,0
15-05-15,0,32,0,0,0,0,0,0,0,0,0
15-05-55,0,32,0,0,0,0,0,0,0,0,0
15-06-05,0,32,0,0,0,0,0,0,0,0,0
15-06-15,0,32,0,0,0,0,0,0,0,0,0
15-06-25,0,32,0,0,0,0,0,0,0,0,0
15-06-55,0,32,0,0,0,0,0,0,0,0,0
15-07-05,0,32,0,0,0,0,0,0,0,0,0
15-07-15,0,32,0,0,0,0,0,0,0,0,0
15-07-25,0,32,0,0,0,0,0,0,0,0,0
15-07-35,0,32,0,0,0,0,0,0,0,0,0
15-07-45,0,32,0,0,0,0,0,0,0,0,0
15-07-55,0,32,0,0,0,0,0,0,0,0,0
15-08-05,0,32,0,0,0,0,0,0,0,0,0
15-08-15,0,32,0,0,0,0,0,0,0,0,0
15-08-25,0,32,0,0,0,0,0,0,0,0,0
15-08-45,0,32,0,0,0,0,0,0,0,0,0
15-08-55,0,32,0,0,0,0,0,0,0,0,0
15-09-05,0,32,0,0,0,0,0,0,0,0,0
15-09-15,0,32,0,0,0,0,0,0,0,0,0
15-09-25,0,32,0,0,0,0,0,0,0,0,0
15-09-35,0,32,0,0,0,0,0,0,0,0,0
15-09-45,0,32,0,0,0,0,0,0,0,0,0
15-09-55,0,32,0,0,0,0,0,0,0,0,0
15-10-05,0,32,0,0,0,0,0,0,0,0,0
15-10-15,0,33,0,0,0,0,0,0,0,0,0
15-10-25,0,32,0,0,0,0,0,0,0,0,0
15-10-35,0,32,0,0,0,0,0,0,0,0,0
15-11-15,0,32,0,0,0,0,0,0,0,0,0
15-11-35,0,32,0,0,0,0,0,0,0,0,0
15-11-55,0,32,0,0,0,0,0,0,0,0,0
15-12-05,0,32,0,0,0,0,0,0,0,0,0
15-12-15,0,32,0,0,0,0,0,0,0,0,0
15-12-25,0,32,0,0,0,0,0,0,0,0,0
15-12-45,0,32,0,0,0,0,0,0,0,0,0
15-12-55,0,32,0,0,0,0,0,0,0,0,0
15-13-15,0,32,0,0,0,0,0,0,0,0,0
15-13-25,0,32,0,0,0,0,0,0,0,0,0
15-14-15,0,32,0,0,0,0,0,0,0,0,0
15-14-25,0,32,0,0,0,0,0,0,0,0,0
15-14-35,0,32,0,0,0,0,0,0,0,0,0
15-14-45,0,32,0,0,0,0,0,0,0,0,0
15-14-55,0,32,0,0,0,0,0,0,0,0,0
15-15-05,0,32,0,0,0,0,0,0,0,0,0
15-15-15,0,32,0,0,0,0,0,0,0,0,0
15-15-25,0,32,0,0,0,0,0,0,0,0,0
15-15-45,0,32,0,0,0,0,0,0,0,0,0
15-16-05,0,32,0,0,0,0,0,0,0,0,0
15-16-15,0,32,0,0,0,0,0,0,0,0,0
15-16-25,0,32,0,0,0,0,0,0,0,0,0
15-16-35,0,32,0,0,0,0,0,0,0,0,0
15-16-45,0,32,0,0,0,0,0,0,0,0,0
15-16-55,0,32,0,0,0,0,0,0,0,0,0
15-17-05,0,32,0,0,0,0,0,0,0,0,0
15-17-15,0,32,0,0,0,0,0,0,0,0,0
15-17-25,0,32,0,0,0,0,0,0,0,0,0
15-17-35,0,32,0,0,0,0,0,0,0,0,0
15-17-45,0,32,0,0,0,0,0,0,0,0,0
15-17-55,0,32,0,0,0,0,0,0,0,0,0
15-18-05,0,32,0,0,0,0,0,0,0,0,0
15-18-15,0,32,0,0,0,0,0,0,0,0,0
15-18-25,0,32,0,0,0,0,0,0,0,0,0
15-18-35,0,32,0,0,0,0,0,0,0,0,0
15-18-45,0,32,0,0,0,0,0,0,0,0,0
15-18-55,0,32,0,0,0,0,0,0,0,0,0
15-19-05,0,32,0,0,0,0,0,0,0,0,0
15-19-15,0,32,0,0,0,0,0,0,0,0,0
15-19-35,0,32,0,0,0,0,0,0,0,0,0
15-19-45,0,32,0,0,0,0,0,0,0,0,0
15-19-55,0,32,0,0,0,0,0,0,0,0,0
15-20-05,0,32,0,0,0,0,0,0,0,0,0
15-20-15,0,32,0,0,0,0,0,0,0,0,0
15-20-25,0,32,0,0,0,0,0,0,0,0,0
15-20-35,0,32,0,0,0,0,0,0,0,0,0
15-20-55,0,32,0,0,0,0,0,0,0,0,0
15-21-05,0,32,0,0,0,0,0,0,0,0,0
15-21-15,0,32,0,0,0,0,0,0,0,0,0
15-21-25,0,32,0,0,0,0,0,0,0,0,0
15-21-35,0,32,0,0,0,0,0,0,0,0,0
15-21-45,0,32,0,0,0,0,0,0,0,0,0
15-21-55,0,32,0,0,0,0,0,0,0,0,0
15-22-05,0,32,0,0,0,0,0,0,0,0,0
15-22-15,0,32,0,0,0,0,0,0,0,0,0
15-22-25,0,32,0,0,0,0,0,0,0,0,0
15-22-35,0,32,0,0,0,0,0,0,0,0,0
15-22-45,0,32,0,0,0,0,0,0,0,0,0
15-22-55,0,32,0,0,0,0,0,0,0,0,0
15-23-05,0,32,0,0,0,0,0,0,0,0,0
