date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-33-05,32,64,0,0,41,60,32,0,37,34,40
09-33-15,0,65,0,0,42,61,0,0,34,35,40
09-33-25,33,64,0,0,35,60,0,0,35,34,35
09-33-35,0,64,0,0,33,60,0,0,33,33,38
09-33-45,0,65,0,0,34,61,0,0,36,33,33
09-33-55,0,65,0,0,33,60,33,0,34,33,35
09-34-05,0,64,0,0,33,61,32,0,0,34,37
09-34-15,36,64,0,0,45,60,33,0,32,33,33
09-34-25,36,43,0,0,33,60,32,0,0,36,33
09-34-35,34,37,0,0,0,61,33,0,32,53,40
09-34-45,32,38,0,0,38,60,33,0,32,37,38
09-34-55,34,46,0,0,37,61,32,0,33,33,0
09-35-05,0,35,0,0,38,60,32,0,38,33,37
09-35-15,0,34,0,0,49,61,32,0,34,35,44
09-35-25,0,38,0,0,43,61,33,0,34,34,40
09-35-35,0,34,0,0,41,61,33,0,0,0,38
09-35-45,0,34,0,0,33,60,0,0,36,33,34
09-35-55,0,38,0,0,38,61,33,0,34,40,34
09-36-05,0,41,0,0,39,61,32,0,39,45,40
09-36-15,0,43,0,0,37,62,0,0,36,43,37
09-36-25,0,44,0,0,33,62,0,0,35,43,34
09-36-35,0,43,0,0,34,62,0,0,34,38,32
09-36-45,0,41,0,0,34,62,33,0,38,34,33
09-36-55,0,34,0,0,35,62,33,0,0,36,36
09-37-05,0,0,0,0,33,62,34,0,38,35,35
09-37-15,0,0,0,0,33,62,34,0,33,36,32
09-37-25,0,35,0,0,0,62,33,0,32,37,36
09-37-35,0,33,0,0,0,49,33,0,32,38,36
09-37-45,0,0,0,0,0,48,33,0,32,38,37
09-37-55,0,0,0,0,32,49,32,0,33,38,38
09-38-05,0,0,0,0,0,36,33,0,35,44,46
09-38-15,0,0,0,0,0,32,32,0,34,34,38
09-38-25,38,0,0,0,0,32,33,0,34,32,36
09-38-35,32,0,0,0,0,32,33,0,32,32,38
09-38-45,33,0,0,0,0,32,33,0,36,32,33
09-38-55,33,0,0,0,0,32,32,0,35,33,0
09-39-05,38,0,0,0,0,32,0,0,35,33,0
09-39-15,37,0,0,0,32,0,32,0,35,33,0
09-39-25,35,0,0,0,0,32,35,0,36,33,0
09-39-35,33,0,0,0,0,32,33,0,33,32,0
09-39-45,33,0,0,0,0,32,33,0,33,33,0
09-39-55,36,0,0,0,0,32,0,0,0,33,0
09-40-05,0,0,0,0,0,33,33,0,32,32,0
09-40-15,32,0,0,0,0,0,0,0,37,0,0
09-40-25,38,0,0,0,0,34,33,0,34,37,0
09-40-35,0,0,0,0,33,33,34,0,35,34,0
09-40-45,34,0,0,0,0,0,45,0,37,42,32
09-40-55,0,0,0,0,0,33,40,0,33,33,32
09-41-05,0,32,0,0,32,34,36,0,35,37,39
09-41-15,0,33,0,0,32,0,36,0,0,34,33
09-41-25,0,32,0,0,32,0,34,0,32,33,0
09-41-35,0,32,0,0,32,33,32,0,36,33,32
09-41-45,0,0,0,0,0,0,33,0,33,34,33
09-41-55,37,0,0,0,0,35,33,0,34,33,0
09-42-05,0,0,0,0,0,32,33,0,34,32,0
09-42-15,37,0,0,0,0,33,35,0,33,33,0
09-42-25,33,0,0,0,0,34,33,0,34,40,0
09-42-35,0,0,0,0,0,34,32,0,34,37,0
09-42-45,32,0,0,0,32,0,33,0,33,36,0
09-42-55,32,32,0,0,33,32,33,0,32,33,0
09-43-05,34,0,0,0,0,32,35,0,0,0,0
09-43-15,35,0,0,0,33,34,35,0,0,33,0
09-43-25,35,32,0,0,40,33,44,0,33,35,0
09-43-35,40,33,0,0,41,33,33,0,37,33,32
09-43-45,35,33,0,0,42,33,43,0,32,32,0
09-43-55,32,0,0,0,34,32,37,0,32,0,0
09-44-05,0,0,0,0,32,33,39,0,32,32,0
09-44-15,0,33,0,0,33,33,38,0,32,32,0
09-44-25,0,0,0,0,34,32,33,0,38,32,0
09-44-35,0,0,0,0,32,32,32,0,33,32,0
09-44-45,0,34,0,0,34,33,39,0,33,0,0
09-44-55,0,33,0,0,36,33,33,0,34,0,0
09-45-05,35,0,0,0,35,32,40,0,40,0,0
09-45-15,37,0,0,0,33,33,35,0,33,0,0
09-45-25,0,0,0,0,32,32,36,0,33,32,0
09-45-35,36,0,0,0,0,32,35,0,33,0,0
09-45-45,0,0,0,0,32,0,34,0,0,0,0
09-45-55,0,0,0,0,0,32,35,0,32,0,0
09-46-05,0,0,0,0,32,0,34,0,0,0,0
09-46-15,0,0,0,0,32,33,45,0,0,0,40
09-46-25,0,0,0,0,33,32,42,0,32,32,35
09-46-35,0,0,0,0,33,32,42,0,0,32,33
09-46-45,0,32,0,0,33,33,42,0,32,0,0
09-46-55,0,32,0,0,33,32,34,0,0,0,0
09-47-05,0,0,0,0,32,33,36,0,33,32,0
09-47-15,0,0,0,0,33,47,36,0,42,32,36
09-47-25,0,0,0,0,32,45,49,0,39,32,35
09-47-35,0,0,0,0,32,46,33,0,34,32,33
09-47-45,0,0,0,0,32,43,0,0,33,0,32
09-47-55,0,0,0,0,0,41,34,0,33,0,33
09-48-05,0,0,0,0,32,51,32,0,32,0,0
09-48-15,0,0,0,0,32,53,0,0,33,0,0
09-48-25,0,0,0,0,32,55,0,0,0,0,0
09-48-35,0,0,0,0,0,49,0,0,0,0,32
09-48-45,0,0,0,0,32,51,33,0,35,33,32
09-48-55,0,0,0,0,32,43,0,0,38,0,0
09-49-05,0,0,0,0,33,44,0,0,47,32,0
09-49-15,0,32,0,0,32,52,0,0,35,32,0
09-49-25,0,33,0,0,33,37,0,0,41,32,0
09-49-35,0,32,0,0,32,41,0,0,41,0,0
09-49-45,0,37,0,0,33,44,0,0,33,0,0
09-49-55,0,38,0,0,32,46,0,0,0,32,0
09-50-05,0,0,0,0,32,48,0,0,33,32,0
09-50-15,0,0,0,0,32,46,0,0,35,32,0
09-50-25,0,0,0,0,32,46,0,0,45,33,0
09-50-35,0,0,0,0,32,45,0,0,53,34,0
09-50-45,0,0,0,0,0,50,0,0,39,33,0
09-50-55,0,0,0,0,32,50,0,0,46,33,0
09-51-05,0,0,0,0,0,49,0,0,48,0,0
09-51-15,0,0,0,0,32,49,0,0,39,0,35
09-51-25,0,0,0,0,32,48,0,0,38,32,35
09-51-35,0,0,0,0,32,49,0,0,37,32,33
09-51-45,0,0,0,0,32,50,0,0,36,32,34
09-51-55,0,0,0,0,32,49,0,0,34,32,35
09-52-05,0,35,0,0,32,48,0,0,37,32,32
09-52-15,0,0,0,0,32,48,0,0,36,32,0
09-52-25,0,0,0,0,32,49,0,0,35,0,0
09-52-35,0,0,0,0,0,47,0,0,33,0,0
09-52-45,0,0,0,0,32,48,0,0,33,0,0
09-52-55,0,0,0,0,32,45,0,0,34,0,0
09-53-05,0,0,0,0,35,37,0,0,33,0,0
09-53-15,0,0,0,0,34,37,35,0,36,32,32
09-53-25,0,0,0,0,33,34,34,0,34,0,33
