date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-50-55,33,46,0,0,41,38,0,0,36,39,0
09-51-05,0,49,0,34,33,37,0,0,34,38,0
09-51-15,0,41,35,33,33,38,0,0,34,32,0
09-51-25,0,41,56,34,35,40,0,0,34,32,44
09-51-35,0,38,41,35,45,35,0,0,34,33,32
09-51-45,32,41,40,37,0,34,0,0,36,0,0
09-51-55,0,41,42,40,0,32,0,0,33,0,33
09-52-05,35,41,44,0,36,33,0,0,35,0,36
09-52-15,34,41,43,0,39,32,0,0,33,32,33
09-52-25,37,41,40,32,34,32,0,0,34,32,34
09-52-35,37,40,45,0,32,33,0,37,36,32,43
09-52-45,35,42,0,0,33,33,0,0,34,0,41
09-52-55,36,40,40,44,35,33,44,0,35,0,49
09-53-05,36,39,32,34,39,33,0,0,35,37,0
09-53-15,34,40,38,33,39,34,0,0,39,33,0
09-53-25,34,39,0,32,37,33,0,0,37,35,0
09-53-35,33,39,34,33,33,33,0,0,36,33,0
09-53-45,33,38,35,0,42,35,0,0,35,32,0
09-53-55,35,35,36,33,33,36,0,45,36,38,33
09-54-05,32,37,33,33,37,34,32,0,35,39,0
09-54-15,37,36,36,34,36,54,0,32,36,35,0
09-54-25,34,34,38,32,0,37,0,0,37,41,0
09-54-35,34,0,38,33,0,41,0,0,33,33,0
09-54-45,32,33,34,32,0,39,0,0,34,34,37
09-54-55,32,35,35,0,0,44,0,0,38,33,0
09-55-05,34,33,39,33,0,41,0,32,0,32,37
09-55-15,32,33,45,36,0,36,0,33,32,36,34
09-55-25,0,33,45,44,0,38,0,0,0,36,43
09-55-35,0,33,41,37,0,41,0,0,0,0,46
09-55-45,0,0,35,37,0,38,0,0,0,34,33
09-55-55,0,32,34,0,0,40,0,33,0,35,0
09-56-05,32,34,35,0,35,37,0,0,33,0,0
09-56-15,0,34,39,0,35,45,0,42,33,36,0
09-56-25,36,38,38,0,40,47,0,0,40,37,0
09-56-35,0,34,41,34,35,41,0,35,34,33,0
09-56-45,0,33,35,0,0,38,0,0,36,0,0
09-56-55,0,33,40,34,0,36,0,0,33,0,0
09-57-05,0,32,35,0,0,54,0,36,0,0,0
09-57-15,0,32,37,0,0,54,0,39,32,34,33
09-57-25,0,0,41,33,0,45,0,33,0,37,42
09-57-35,0,0,40,32,0,46,0,48,0,34,36
09-57-45,0,33,35,35,32,41,0,41,0,36,33
09-57-55,0,33,41,0,33,41,0,36,0,32,35
