date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
11-16-05,0,0,0,0,0,33,0,0,0,0,0
11-17-05,0,0,0,34,0,34,0,0,0,0,34
11-18-05,0,0,35,0,0,0,34,0,0,0,0
11-19-05,0,0,40,0,34,0,36,0,35,0,0
11-20-05,0,34,0,37,0,0,38,0,0,37,34
11-21-05,0,0,36,0,34,0,40,0,33,36,0
11-22-05,0,0,36,0,36,0,35,0,0,34,0
11-23-05,0,0,34,0,46,0,34,0,0,0,0
11-24-05,0,0,42,0,59,0,0,0,0,33,0
11-25-05,0,0,34,0,45,33,0,0,0,0,0
11-26-05,0,0,34,0,36,0,36,0,0,0,0
11-27-05,0,0,0,0,37,35,0,0,41,0,0
11-28-05,0,33,0,0,0,0,0,0,48,0,0
11-29-05,0,0,0,0,0,0,34,0,51,0,0
11-30-05,0,0,0,0,0,35,38,0,51,0,38
11-31-05,0,0,33,0,0,36,39,0,35,35,0
11-32-05,0,34,33,0,0,38,38,0,0,39,0
11-33-05,34,35,0,0,0,33,43,0,0,43,0
11-34-05,0,0,0,0,0,34,37,0,0,46,0
11-35-05,0,0,0,40,0,34,34,0,0,46,0
11-36-05,0,0,0,0,0,34,35,0,0,49,0
11-37-05,0,34,0,0,0,34,34,0,0,40,0
11-38-05,0,0,0,0,0,34,38,0,0,52,0
11-39-05,0,0,0,0,0,34,38,0,0,52,0
11-40-05,0,38,0,0,0,35,41,0,34,52,0
11-41-05,0,35,0,0,0,33,37,0,0,37,0
11-42-05,0,0,0,0,0,34,37,0,0,43,0
11-43-05,0,0,0,0,0,39,0,0,0,37,0
11-44-05,0,37,33,0,33,34,38,0,0,33,0
11-45-05,0,33,0,0,0,34,34,0,0,39,0
11-46-05,0,33,0,0,0,33,33,0,0,34,0
11-47-05,0,36,0,0,0,34,33,0,0,0,0
11-48-05,0,0,0,0,0,0,0,0,34,0,0
11-49-05,0,38,0,0,0,36,34,0,0,0,33
11-50-05,0,34,0,0,33,0,47,0,0,0,0
11-51-05,0,0,45,0,0,0,45,0,0,0,38
11-52-05,0,33,34,0,0,0,0,0,0,0,33
11-53-05,0,34,0,0,0,0,0,0,33,0,33
11-54-05,0,0,34,0,33,0,33,0,34,0,0
11-55-05,0,33,46,0,0,44,0,0,33,0,0
11-56-05,0,0,39,0,0,0,0,0,0,0,0
11-57-05,0,34,46,0,35,0,33,0,36,0,0
11-58-05,0,35,0,0,0,0,0,0,34,0,0
11-59-05,0,0,34,0,47,35,46,0,0,0,35
12-00-05,0,0,33,0,34,35,41,0,0,0,34
12-01-05,0,0,39,38,33,33,0,0,0,37,0
12-02-05,0,0,37,41,34,34,0,0,0,0,0
12-03-05,0,0,0,49,40,0,0,0,0,0,0
12-04-05,0,0,36,48,38,36,0,0,0,0,0
12-05-05,0,0,37,45,0,0,0,0,0,0,0
12-06-05,0,0,35,0,33,40,0,0,0,0,0
12-07-05,0,0,0,0,34,37,37,0,0,33,0
12-08-05,0,0,0,34,34,35,0,0,37,0,35
12-09-05,0,0,37,0,0,39,37,0,0,0,0
12-10-05,0,0,34,0,36,49,0,0,0,0,0
12-11-05,0,0,37,0,34,36,0,0,0,0,0
12-12-05,0,0,36,0,38,39,0,0,33,0,0
12-13-05,0,34,0,0,0,0,36,0,0,0,34
12-14-05,0,0,36,33,33,35,0,0,33,0,0
12-15-05,0,0,35,34,0,0,0,0,34,0,0
12-16-05,0,0,36,0,37,47,0,0,0,0,0
12-17-05,0,0,36,0,33,44,0,0,33,0,0
12-18-05,0,0,38,0,0,44,0,0,34,0,0
12-19-05,0,0,43,0,33,53,0,0,34,0,0
12-20-05,0,0,36,0,33,36,0,0,0,0,0
12-21-05,0,0,46,0,0,36,0,0,34,0,0
12-22-05,0,0,34,0,0,45,0,0,33,0,0
12-23-05,0,0,40,0,0,47,0,0,34,0,0
12-24-05,0,0,40,0,0,52,0,0,0,0,0
12-25-05,0,0,39,0,0,38,0,0,33,0,0
