date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
11-52-05,0,0,0,0,31,0,0,32,0,0,33
11-53-05,0,0,0,0,33,34,34,0,37,35,0
11-54-05,0,0,0,0,32,34,34,32,34,0,0
11-55-05,0,37,0,0,34,58,0,45,38,41,0
11-56-05,0,35,0,33,35,35,33,37,42,0,0
11-57-05,0,39,0,35,44,0,34,45,38,0,33
11-58-05,0,0,0,42,31,39,37,0,0,0,0
11-59-05,0,35,0,34,40,46,38,31,47,0,34
12-00-05,32,32,0,32,31,49,35,0,40,34,34
12-01-05,31,34,0,33,39,42,38,36,36,49,31
12-02-05,0,31,0,36,54,42,38,37,35,34,36
12-03-05,0,36,0,0,32,33,0,0,34,0,31
12-04-05,0,0,0,34,0,46,38,33,32,34,47
12-05-05,0,0,0,36,0,43,38,35,32,35,44
12-06-05,0,0,0,31,31,50,43,33,32,40,50
12-07-05,0,31,0,46,31,39,45,0,48,36,34
12-08-05,0,0,0,0,31,31,0,0,0,0,0
12-09-05,31,0,0,32,32,57,37,35,35,0,0
12-10-05,0,0,0,32,37,51,0,31,32,0,0
12-11-05,32,0,0,32,39,47,0,33,37,0,32
12-12-05,0,0,0,32,31,38,31,33,56,0,0
12-13-05,31,0,0,32,37,42,0,0,32,0,0
12-14-05,31,0,0,31,47,46,0,34,34,0,0
12-15-05,31,0,0,31,58,48,31,33,38,0,0
12-16-05,0,0,0,31,43,45,32,33,34,0,0
12-17-05,0,0,0,32,42,53,31,33,34,0,0
12-18-05,31,0,0,32,34,59,31,36,34,0,0
12-19-05,0,0,0,31,35,53,0,41,34,0,0
12-20-05,31,31,0,31,40,36,0,34,36,0,0
12-21-05,31,0,0,31,36,39,0,46,35,0,31
12-22-05,0,0,0,0,38,47,0,32,37,0,0
12-23-05,31,0,0,0,37,53,0,38,38,32,0
12-24-05,0,0,0,31,34,54,0,38,32,31,0
12-25-05,31,0,0,31,34,52,0,37,33,0,0
12-26-05,32,0,0,0,39,60,0,35,39,0,0
12-27-05,32,0,0,0,40,39,0,32,36,0,0
12-28-05,33,0,0,32,33,54,0,35,40,0,0
12-29-05,31,0,0,0,39,58,0,33,41,0,0
12-30-05,0,0,0,32,36,64,0,38,33,0,0
12-31-05,32,0,0,37,43,48,0,38,36,0,0
12-32-05,31,0,0,31,43,58,31,35,36,0,0
12-33-05,31,0,0,32,36,58,0,32,36,0,31
12-34-05,31,0,0,31,36,57,0,0,38,32,38
12-35-05,32,33,0,34,31,48,36,0,36,0,0
12-36-05,0,31,0,32,36,56,49,37,36,0,40
12-37-05,0,31,0,41,41,45,42,0,33,35,0
12-38-05,32,0,0,36,37,35,54,41,46,39,32
12-39-05,0,0,0,34,0,55,37,32,33,32,0
12-40-05,31,34,0,34,37,0,47,36,40,36,0
12-41-05,31,0,0,41,34,0,38,0,34,41,35
12-42-05,0,33,0,31,0,0,32,0,35,0,32
12-43-05,0,33,0,34,33,0,38,34,52,34,36
12-44-05,31,0,0,39,40,0,45,36,35,47,0
12-45-05,32,34,0,48,50,0,53,47,41,55,31
12-46-05,60,0,0,71,70,0,78,61,33,51,0
12-47-05,62,44,0,70,71,0,77,62,32,37,0
12-48-05,62,33,0,70,70,0,77,61,31,37,0
12-49-05,62,49,0,71,71,0,76,61,31,43,0
12-50-05,62,63,0,71,71,0,76,61,31,46,0
12-51-05,62,62,0,64,74,0,73,58,32,40,0
12-52-05,62,61,0,64,74,0,73,57,0,42,0
12-53-05,62,62,0,64,74,0,73,56,31,36,0
12-54-05,62,62,0,64,74,0,80,61,32,56,0
12-55-05,62,62,0,64,74,0,79,58,32,57,0
12-56-05,62,62,0,65,74,0,80,61,34,58,0
12-57-05,62,62,0,65,74,0,80,62,31,57,0
12-58-05,62,62,0,65,74,0,80,59,31,56,0
12-59-05,62,63,0,65,74,0,80,61,31,58,0
13-00-05,62,63,0,64,74,0,80,61,31,57,0
13-01-05,62,62,0,64,74,0,80,61,31,57,0
13-02-05,61,62,0,65,74,0,80,61,31,57,0
13-03-05,62,63,0,65,74,0,80,61,31,58,0
13-04-05,62,62,0,65,74,0,80,62,31,57,0
13-05-05,62,62,0,66,74,0,80,62,31,57,0
13-06-05,61,62,0,65,74,0,80,61,31,59,0
13-07-05,62,62,0,65,74,0,80,61,31,59,0
13-08-05,61,62,0,65,74,0,80,61,31,58,0
13-09-05,62,63,0,65,74,0,80,62,31,56,0
13-10-05,62,62,0,65,74,0,80,60,32,55,0
13-11-05,62,62,0,66,74,0,80,62,33,57,0
13-12-05,62,60,0,68,73,0,80,59,0,55,0
13-13-05,62,61,0,69,74,0,80,61,32,57,0
13-14-05,63,63,0,54,73,0,80,63,31,58,0
13-15-05,62,62,0,31,73,0,81,63,31,58,0
13-16-05,62,63,0,33,73,0,81,63,31,59,0
13-17-05,63,62,0,32,73,0,80,62,31,58,0
13-18-05,62,62,0,32,73,0,81,62,31,59,0
13-19-05,61,62,0,35,71,0,40,66,31,58,0
13-20-05,62,63,0,33,72,0,46,64,31,59,0
13-21-05,62,62,0,33,73,0,33,63,32,60,0
13-22-05,62,60,0,31,73,0,44,63,31,60,0
13-23-05,62,62,0,31,74,0,32,63,33,60,0
13-24-05,40,43,0,31,58,0,0,43,33,36,0
13-25-05,0,36,0,42,31,0,33,0,0,0,0
13-26-05,31,39,0,36,38,0,38,38,37,34,0
13-27-05,0,33,0,0,32,0,52,38,38,32,31
13-28-05,0,33,0,44,32,0,39,0,31,35,0
13-29-05,32,41,0,48,39,0,48,31,38,34,0
13-30-05,0,39,0,34,34,0,37,31,35,34,0
13-31-05,0,35,0,32,33,0,39,32,38,36,0
13-32-05,32,39,0,31,44,0,0,34,41,32,0
13-33-05,0,38,0,33,34,0,32,33,34,33,0
13-34-05,31,37,0,0,37,0,48,0,34,36,0
13-35-05,0,38,0,32,31,0,32,43,33,31,46
13-36-05,32,42,0,0,38,0,0,0,40,39,0
13-37-05,31,47,0,0,48,0,0,34,41,36,0
13-38-05,0,36,0,61,33,0,0,37,37,33,31
13-39-05,0,36,0,33,32,0,0,32,36,34,0
13-40-05,0,31,0,31,0,0,0,31,44,31,31
13-41-05,0,37,0,31,37,0,0,31,40,38,0
13-42-05,0,45,0,33,37,0,0,49,33,37,31
13-43-05,31,44,0,32,36,0,0,34,40,40,0
13-44-05,0,40,0,35,32,0,0,0,38,36,31
13-45-05,0,34,0,33,32,0,0,32,38,0,0
13-46-05,0,35,0,35,36,0,0,33,36,35,31
13-47-05,0,42,0,31,38,0,0,32,38,35,0
13-48-05,0,0,0,42,32,0,0,0,66,0,39
13-49-05,0,0,0,48,31,0,0,0,67,0,34
13-50-05,0,32,0,33,0,0,0,0,51,0,32
13-51-05,0,32,0,31,31,0,0,0,47,0,35
13-52-05,0,32,0,35,33,0,0,0,62,0,36
13-53-05,0,34,0,32,35,0,0,0,64,31,37
13-54-05,31,37,0,37,38,0,0,31,50,32,35
13-55-05,0,42,0,34,33,0,0,42,44,37,0
13-56-05,0,32,0,0,0,0,0,0,31,0,34
13-57-05,0,0,0,0,0,0,0,31,0,0,0
13-58-05,33,44,0,46,38,0,0,32,46,34,0
13-59-05,0,33,0,43,32,0,0,0,49,34,0
14-00-05,0,33,0,39,35,0,0,0,48,31,31
14-01-05,0,32,0,53,35,0,0,31,43,33,0
14-02-05,0,32,0,48,34,0,0,0,49,35,31
14-03-05,0,32,0,37,31,0,0,0,56,0,33
14-04-05,0,32,0,37,32,0,0,0,40,31,32
