date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-31-35,0,0,48,0,0,32,0,0,0,0,0
09-31-45,0,0,48,31,0,0,0,0,0,0,0
09-31-55,0,0,48,32,0,0,0,0,0,0,0
09-32-05,0,0,48,32,31,0,0,0,0,0,0
09-32-15,0,0,48,31,0,0,0,0,0,0,0
09-32-25,0,0,48,32,0,0,0,0,0,0,0
09-32-35,0,0,48,31,31,0,0,0,0,0,0
09-32-45,0,0,48,32,0,0,0,0,0,0,0
09-32-55,0,0,48,32,0,0,38,0,0,0,0
09-33-05,0,0,48,32,31,0,0,0,0,0,0
09-33-15,0,0,48,31,0,0,0,0,0,0,0
09-33-25,0,0,48,31,0,31,0,0,0,0,0
09-33-35,0,0,48,32,0,32,0,0,0,0,0
09-33-45,0,0,49,32,0,31,0,0,0,0,0
09-33-55,0,0,48,32,0,31,0,0,0,0,0
09-34-04,0,0,0,0,57,0,0,0,0,0,0
09-34-05,0,0,47,32,0,32,0,0,0,0,0
09-34-15,0,0,47,32,0,32,0,0,0,0,0
09-34-25,0,0,47,32,0,31,0,0,0,0,0
09-34-35,0,0,47,32,0,31,0,0,0,0,0
09-34-45,0,0,48,33,0,32,0,0,0,0,0
09-34-55,0,0,49,33,0,0,0,0,0,0,0
09-35-05,0,0,49,33,31,31,0,0,0,0,0
09-35-15,0,0,48,32,0,32,0,0,0,0,0
09-35-17,0,0,0,0,57,0,0,0,0,0,0
09-35-25,0,0,48,32,0,31,0,0,0,0,0
09-35-35,0,0,48,32,0,31,0,0,0,0,0
09-35-45,0,0,48,31,0,32,0,0,0,0,0
09-35-55,0,0,48,32,0,32,0,0,0,0,0
09-36-05,0,0,48,31,0,32,0,0,0,0,0
09-36-15,0,0,47,32,0,32,0,0,0,0,0
09-36-25,0,0,47,32,0,31,0,0,0,0,0
09-36-35,0,0,47,32,0,0,0,0,0,0,0
09-36-45,0,0,47,31,0,0,0,0,0,0,0
09-36-55,0,0,47,32,0,32,0,0,0,0,0
09-37-05,0,0,47,31,0,32,0,0,0,0,0
09-37-15,0,0,47,32,0,31,0,0,0,0,0
09-37-25,0,0,47,32,0,32,0,0,0,0,0
09-37-35,0,0,47,32,0,31,0,0,0,0,0
09-37-45,0,0,47,32,0,31,0,0,0,0,0
09-37-55,0,0,47,31,0,34,0,0,0,0,0
09-38-05,0,0,47,31,0,0,0,0,0,0,0
09-38-15,0,0,48,31,0,0,0,0,0,0,0
09-38-25,0,0,47,32,0,31,0,0,0,0,0
09-38-35,0,0,47,32,0,0,0,0,0,0,0
09-38-45,0,0,47,31,0,0,0,0,0,0,0
09-38-55,0,0,48,32,0,0,0,0,0,0,0
09-39-05,0,0,48,32,0,32,0,0,0,0,0
09-39-15,0,0,47,31,0,33,0,0,0,0,0
09-39-25,0,0,47,31,0,0,0,0,0,0,0
09-39-35,0,0,47,32,0,0,0,0,0,0,0
09-39-45,0,0,47,32,0,0,0,0,0,0,0
09-39-55,0,0,47,32,0,0,0,0,0,0,0
09-40-05,0,0,47,31,0,0,0,0,0,0,0
09-40-15,0,0,47,32,0,0,0,0,0,0,0
09-40-25,0,0,47,32,0,0,0,0,0,0,0
09-40-35,0,0,47,31,0,0,0,0,0,0,0
09-40-45,0,0,47,0,0,0,0,0,0,0,0
09-40-55,0,0,47,0,0,0,0,0,0,0,0
09-41-05,0,0,47,0,0,0,0,0,0,0,0
09-41-15,0,0,47,0,0,0,0,0,0,0,0
09-41-25,0,0,46,0,0,0,0,0,0,0,0
09-41-35,0,0,46,0,0,0,0,0,0,0,0
09-41-45,0,0,46,0,0,0,0,0,0,0,0
09-41-55,0,0,46,0,0,0,0,0,0,0,0
09-42-05,0,0,46,0,0,0,0,0,0,0,0
09-42-15,0,0,46,0,0,0,0,0,0,0,0
09-42-25,0,0,46,0,0,0,0,0,0,0,0
09-42-35,0,0,46,0,0,0,0,0,0,0,0
