date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-58-25,0,0,0,0,0,0,32,0,35,33,0
09-58-35,0,0,0,0,0,33,33,0,0,33,0
09-58-45,0,0,0,0,0,0,33,0,32,34,0
09-58-55,0,0,0,0,0,0,35,0,32,33,0
09-59-05,0,0,0,0,0,0,32,0,34,33,0
09-59-15,0,32,0,0,0,0,34,0,0,34,0
09-59-25,0,32,0,0,32,33,0,0,33,33,0
09-59-35,0,0,0,0,0,32,33,0,0,0,0
09-59-45,0,0,0,0,0,0,35,0,35,0,0
09-59-55,0,0,0,0,0,0,32,0,32,0,0
10-00-05,0,0,0,0,0,35,33,0,34,0,0
10-00-15,0,0,0,0,0,0,33,0,0,0,0
10-00-25,0,0,0,0,0,0,33,0,0,0,0
10-00-35,0,0,0,0,32,33,33,0,0,0,0
10-00-45,0,0,0,0,0,33,0,0,0,0,0
10-00-55,0,0,0,0,0,33,0,0,0,0,0
10-01-05,0,0,0,0,0,32,33,0,0,0,34
10-01-15,0,32,0,0,0,0,32,0,0,32,0
10-01-25,0,0,0,0,0,0,32,0,35,0,32
10-01-45,0,32,0,0,0,32,32,0,0,0,0
10-01-55,0,0,0,0,0,0,35,0,32,0,0
10-02-05,0,0,0,0,0,32,33,0,0,0,0
10-02-15,0,0,0,0,0,34,0,0,33,0,0
10-02-25,0,0,0,0,0,32,34,0,35,0,0
10-02-35,0,0,0,0,0,32,32,0,33,0,0
10-02-45,0,0,0,0,0,32,32,0,36,0,0
10-02-55,0,0,0,0,0,32,32,0,32,0,0
10-03-05,0,0,0,0,32,32,33,0,32,0,0
10-03-15,0,32,0,0,0,32,33,0,32,32,0
10-03-25,0,0,0,0,0,32,33,0,35,0,0
10-03-35,0,0,0,0,32,32,33,0,33,0,0
10-03-45,0,0,0,0,0,0,33,0,0,0,0
10-03-55,0,0,0,0,0,0,34,0,34,0,0
10-04-05,0,0,0,0,0,0,34,0,34,0,0
10-04-15,0,0,0,0,0,0,32,0,33,0,0
10-04-25,0,0,0,0,0,32,32,0,33,0,0
10-04-35,0,0,0,0,0,0,33,0,33,0,0
10-04-45,0,0,0,0,0,0,34,0,37,0,0
10-04-55,0,0,0,0,0,0,0,0,32,0,0
10-05-05,0,0,0,0,32,0,0,0,0,0,0
10-05-15,0,0,0,0,0,0,35,0,35,0,0
10-05-25,0,0,0,0,0,0,35,0,37,0,0
10-05-35,0,0,0,0,0,0,32,0,39,0,0
10-05-45,0,0,0,0,0,0,0,0,38,0,0
10-05-55,0,0,0,0,0,0,33,0,37,32,33
10-06-05,0,0,0,0,0,0,0,0,32,0,0
10-06-15,0,0,0,0,0,0,0,0,32,0,0
10-06-25,0,0,0,0,0,0,0,0,33,0,0
10-06-55,0,0,0,0,0,0,33,0,37,0,0
10-07-05,0,0,0,0,0,0,33,0,32,0,0
10-07-15,0,0,0,0,32,32,34,0,33,0,0
10-07-25,0,0,0,0,32,0,34,0,0,0,0
10-07-35,0,0,0,0,0,0,33,0,0,0,0
10-07-45,0,0,0,0,0,0,32,0,0,0,0
10-07-55,0,0,0,0,0,0,33,0,0,0,0
10-08-05,0,0,0,0,0,0,36,0,0,0,0
10-08-15,0,0,0,0,0,0,32,0,32,0,0
10-08-25,0,0,0,0,0,0,33,0,0,0,0
10-08-35,0,0,0,0,0,0,33,0,36,0,0
