date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
11-49-05,0,0,0,0,0,0,0,0,33,0,0
11-50-05,0,32,0,0,0,0,34,0,0,0,0
11-51-05,0,34,0,0,0,0,0,0,0,0,0
11-52-05,0,32,0,0,0,0,0,0,0,0,0
11-53-05,0,33,0,0,0,0,0,0,0,0,0
11-54-05,0,33,0,0,0,0,0,0,0,0,0
11-55-05,0,0,0,0,0,0,0,0,0,0,35
11-57-15,0,0,0,0,0,0,33,0,0,0,0
11-58-15,0,0,0,0,0,0,0,0,0,31,0
11-59-05,0,0,33,0,0,34,34,0,0,0,0
12-00-05,0,0,35,0,0,35,34,0,0,0,0
12-01-05,0,0,32,0,0,0,0,0,0,0,0
12-02-05,0,0,33,0,0,31,0,0,0,0,0
12-03-05,0,0,0,0,0,32,0,0,0,0,0
12-05-55,0,0,0,0,0,35,0,0,0,0,0
12-06-05,0,0,0,0,0,36,0,0,0,0,0
12-07-05,0,0,31,0,0,34,32,0,0,31,0
12-08-05,0,0,0,0,33,0,0,0,0,0,0
12-09-05,0,0,33,0,0,34,32,0,0,0,0
12-10-05,0,0,32,0,0,32,0,0,0,0,0
12-11-05,0,0,33,0,0,33,0,0,0,0,0
12-12-05,0,0,0,0,0,34,0,0,0,0,0
12-13-05,0,0,32,0,0,32,0,0,0,0,0
12-14-05,0,0,32,0,0,33,0,0,0,0,0
12-15-05,0,0,32,0,0,0,0,0,0,0,0
12-16-05,0,0,0,0,33,32,0,0,0,0,0
12-17-05,0,0,0,0,0,34,0,0,0,0,0
12-18-05,0,0,33,0,0,0,0,0,0,0,0
12-19-05,0,0,0,0,0,31,0,0,0,0,0
12-20-05,0,0,32,0,0,0,0,0,0,0,0
12-21-05,0,0,32,0,0,0,0,0,0,0,0
12-22-05,0,0,0,0,0,33,0,0,0,0,0
12-23-05,0,0,33,0,0,34,0,0,0,0,0
12-24-05,0,0,31,0,0,32,0,0,0,0,0
12-25-05,0,0,31,0,0,36,0,0,0,0,31
12-26-05,0,0,35,0,0,33,0,0,0,0,0
12-27-05,0,0,35,0,0,33,0,0,0,0,0
12-28-05,0,0,35,0,0,32,0,0,0,0,0
12-29-05,0,0,32,0,0,0,0,0,0,0,0
12-30-05,0,0,0,0,0,31,0,0,0,0,0
12-31-05,0,0,32,0,0,33,0,0,0,0,0
12-32-05,0,0,33,0,0,33,0,0,0,0,0
12-33-05,0,0,32,0,0,33,0,0,0,0,0
12-34-05,0,0,32,0,0,0,0,0,0,0,0
12-35-05,0,0,33,0,0,38,0,0,0,0,0
12-36-05,0,0,31,0,0,32,39,0,0,0,0
12-37-05,0,0,31,32,0,31,0,0,0,42,0
12-38-05,0,0,35,0,0,0,0,0,0,31,0
12-39-05,0,0,0,0,0,0,0,0,0,32,0
12-40-05,0,0,32,0,0,0,0,0,0,0,0
12-41-05,0,0,32,53,38,0,33,0,0,32,0
12-42-05,0,0,0,53,34,0,58,0,0,0,0
12-43-05,0,0,0,55,60,0,58,0,0,0,0
12-44-05,0,0,33,55,60,0,56,34,0,0,0
12-45-05,0,0,34,55,60,0,58,31,0,0,0
12-46-05,0,0,63,55,60,0,58,52,0,0,0
12-47-05,0,31,64,55,60,0,64,49,0,0,0
12-48-05,0,0,64,55,60,0,64,49,0,0,0
12-49-05,0,33,64,55,60,0,64,49,0,0,0
12-50-05,0,41,64,55,60,0,65,48,0,0,0
12-51-05,0,41,64,56,60,0,64,46,0,0,0
12-52-05,0,40,65,56,60,0,65,46,0,0,0
12-53-05,0,40,64,56,60,0,64,46,0,0,0
12-54-05,0,37,65,55,60,0,61,46,0,35,0
12-55-05,0,37,64,55,59,0,61,45,0,33,0
12-56-05,0,37,64,55,59,0,62,46,0,33,0
12-57-05,0,37,64,55,59,0,62,46,0,34,0
12-58-05,0,36,64,55,59,0,62,46,0,35,0
12-59-05,0,36,64,55,59,0,62,46,0,34,0
13-00-05,0,36,64,55,59,0,61,46,0,34,0
13-01-05,0,36,64,55,59,0,61,46,0,34,0
13-02-05,0,36,64,55,59,0,62,46,0,34,0
13-03-05,0,36,64,55,59,0,62,46,0,34,0
13-04-05,0,38,64,55,59,0,61,46,0,33,0
13-05-05,0,36,64,55,59,0,61,46,0,35,0
13-06-05,0,36,64,55,59,0,61,46,0,34,0
13-07-05,0,37,63,55,59,0,62,46,0,33,0
13-08-05,0,36,64,55,59,0,62,46,0,35,0
13-09-05,0,36,64,55,59,0,61,46,0,33,0
13-10-05,0,37,64,55,59,0,61,46,0,35,0
